time,fps,avg_fps
2.925417,0.342741,0.342741
3.009096,24.892011,30.330035
4.012728,55.371663,56.097604
5.005172,54.879973,56.248503
6.014895,57.857038,55.414019
7.019301,50.358716,52.391354
8.008669,52.365180,51.610653
9.005228,48.004956,46.409712
10.002972,39.705889,40.354318
11.021624,38.475024,39.430665
12.013218,33.628866,36.540654
13.026679,36.845249,35.853454
14.019996,33.714754,33.055751
15.011972,32.962780,31.858302
16.010746,29.819109,28.865223
17.007053,28.044081,26.987402
18.009037,24.984074,24.944892
19.008742,25.511635,24.183259
20.010303,23.230218,22.903695
21.004195,21.159065,20.704261
22.044835,10.141184,20.018862
23.036777,16.032227,16.841134
24.044035,20.483261,18.862576
25.050764,20.218315,19.250078
26.019612,19.116963,18.882933
27.039059,18.645284,18.020335
28.016488,18.415169,17.667366
29.033592,17.961926,17.239496
30.043155,17.160697,16.999251
31.022444,17.507904,16.654508
32.057753,17.091844,15.982572
33.013601,15.970628,16.002354
34.042155,15.835462,15.607083
35.051748,15.257151,15.222148
36.04788,15.024838,15.201073
37.005371,15.351902,14.860400
38.027281,15.169636,14.929567
39.012836,15.149504,14.543224
40.046484,15.211391,14.585543
41.058638,13.896492,14.321301
42.06947,14.796154,14.113544
43.056622,14.420019,13.729208
44.025741,14.061067,13.726512
45.023648,13.464497,13.371776
46.013198,13.714813,13.298954
47.025169,13.177497,13.145217
48.033169,13.418703,13.128174
49.048374,13.440790,13.029201
50.057979,13.323881,13.110646
51.026388,13.209405,12.761893
52.062893,13.069846,12.728705
53.037511,13.341740,12.660394
54.015259,12.745619,12.582407
55.073125,13.034181,12.486139
56.072098,12.712917,12.375117
57.086247,12.170193,11.598843
58.031828,12.333382,11.784242
59.067233,11.875797,11.806001
60.018572,12.007130,11.715679
61.079747,11.484465,11.563590
62.0339,11.821371,11.488689
63.048722,11.274810,11.248763
64.022766,11.584281,11.094444
65.130587,7.792787,10.686704
66.062092,10.664487,9.952032
67.078015,11.218740,9.834882
68.031781,11.259194,10.332383
69.006117,10.925272,10.435052
70.073765,10.309075,10.393282
71.072201,10.608356,10.270926
72.068973,10.599159,10.094809
73.078646,10.541553,10.064437
74.070037,10.213362,10.081688
75.022272,10.270968,9.883064
76.009914,10.257150,9.878325
77.041528,10.497323,9.986887
78.049541,10.418884,9.901637
79.082681,10.123092,9.862752
80.019937,10.090013,9.756429
81.076368,9.827187,9.632260
82.099993,9.756997,9.660257
83.057876,10.193283,9.632876
84.04809,8.291166,9.348104
85.008586,9.301521,9.355974
86.119698,8.527295,9.180639
87.010471,9.618871,9.117775
