time,fps,avg_fps
2.174316,60.254461,61.260088
3.176737,59.150680,59.852656
4.175924,59.722875,59.856297
5.173459,59.917835,60.056444
6.174104,59.852742,60.063891
7.175485,59.617399,60.639766
8.175761,59.736632,60.093715
9.175677,58.974376,60.248916
10.175082,60.386965,60.499308
11.179684,59.569785,61.225727
12.175274,60.755367,63.296151
13.179682,67.408862,62.388213
14.19112,55.638291,58.618005
15.167225,56.556656,50.862384
16.177652,53.440003,53.590800
17.183229,51.982289,54.480330
18.181124,59.960898,59.898289
19.191246,55.221302,62.930209
20.179387,58.756643,61.764898
21.184376,53.554908,55.666325
22.176791,54.468083,54.375292
23.180992,62.929494,62.109237
24.183607,61.085154,58.253740
25.185832,47.741016,60.633119
26.177957,55.175823,51.436794
27.177821,54.794707,54.525150
28.18452,45.491311,53.019968
29.191708,40.060257,45.610125
30.187477,53.633353,55.536783
31.196997,48.858012,48.866529
32.188168,59.693358,64.519992
33.18172,50.174825,45.980871
34.20113,46.089117,51.172189
35.189432,51.084040,51.984293
36.18486,53.071049,51.542272
37.200503,46.190003,50.506109
38.179648,57.706729,53.666971
39.189873,44.010632,48.695871
40.218007,35.326977,47.655098
41.190987,34.699932,36.660175
42.184701,47.874178,36.057497
43.223783,26.164758,35.016978
44.181881,46.629663,49.926013
45.197273,46.483304,45.019109
46.18915,46.444921,41.903681
47.209602,33.220197,33.519152
48.199252,30.239479,34.057521
49.204319,42.183149,44.034829
50.195107,42.404334,39.603317
51.218322,38.744477,42.231536
52.215871,36.564520,37.653102
53.200616,46.750565,41.283232
54.191002,38.049912,33.313236
55.194219,51.761427,40.467134
56.213395,39.587705,34.757111
57.232583,33.069766,38.344490
58.224106,31.810931,32.045391
59.20184,41.531305,44.461930
60.205306,40.156090,34.634642
61.218144,33.515729,38.600148
62.218403,36.717831,31.941313
63.215334,39.802045,42.833294
64.195904,37.739688,40.988270
65.211373,41.258966,36.801817
66.232295,39.392988,34.399588
67.236133,28.891975,36.187244
68.217826,41.380741,39.410949
69.202276,47.018239,40.716540
70.2097,46.995624,43.069334
71.209075,46.028197,43.269048
72.214462,37.057233,38.048215
73.226117,35.342250,41.230109
74.203431,39.090352,38.276327
75.20381,37.533263,32.027732
76.215521,47.128969,35.108621
77.204662,40.924937,30.696162
78.227684,35.985637,39.253387
79.23204,32.217412,36.479283
80.215755,36.410736,37.953315
81.215815,48.273955,36.240592
82.238187,33.864207,32.551021
83.224297,31.092870,31.200314
84.205073,41.071182,33.487560
85.252009,30.769778,37.609103
86.243168,25.343176,32.290537
87.202851,39.816658,32.235003
88.234649,38.960596,37.581722
89.220623,42.986721,36.980428
90.23549,28.372735,36.736876
91.229647,34.400052,37.813546
92.209985,44.821974,29.943682
93.213607,27.114646,35.502187
94.235072,23.628635,32.832558
95.222377,31.954501,31.841578
96.212004,40.003183,31.545498
97.255179,21.966270,26.751494
98.274689,26.720954,32.776471
99.259393,27.767943,43.145004
100.248487,29.753408,29.880664
101.206636,38.267422,26.223532
102.247319,34.051277,35.927630
103.235567,26.191275,28.654838
104.229546,35.389678,29.482492
105.230087,34.356355,30.732357
106.234486,33.947010,29.317436
107.218633,31.480302,29.270073
108.243208,29.209906,29.398874
109.242443,37.485287,34.364107
110.29505,25.952772,31.241888
111.223424,36.389046,28.734875
112.253639,24.331492,27.065462
113.237056,30.883215,25.143569
114.261621,28.767197,29.884501
115.22317,38.619593,38.840807
116.212454,38.613858,34.235517
117.262592,30.819126,31.587212
118.240572,36.158373,31.079122
119.218791,40.698945,36.741130
120.217967,34.594582,37.185125
121.233296,37.055666,38.003997
122.246784,41.513988,31.963475
123.245279,37.381670,28.877236
124.25864,27.878919,30.297703
125.236181,32.939004,30.346347
126.234057,36.557890,34.772247
127.236607,31.367276,30.536412
128.237485,34.438504,26.718078
129.253114,34.612442,30.660777
130.238248,30.124707,28.562882
131.227617,36.499603,30.322364
132.276076,28.746722,28.125447
133.243763,32.163290,23.646198
134.235748,30.007582,26.421438
