time,dest_type,steps,avg_steps
3.52122,target,1,1.0
3.922762,target,1,1.0
4.004993,target,2,1.3333333333333333
6.463724,target,3,1.75
7.461397,target,4,2.2
7.608484,parent,3,3.0
8.288965,target,1,2.0
9.022184,target,4,2.2857142857142856
9.240704,target,2,2.25
9.890283,target,1,2.111111111111111
9.92564,target,6,2.5
9.987533,target,5,2.727272727272727
10.189265,parent,1,2.0
10.271373,target,4,2.8333333333333335
10.490142,target,1,2.6923076923076925
10.809743,target,3,2.7142857142857144
11.088277,parent,3,2.3333333333333335
11.214257,target,3,2.7333333333333334
11.329878,target,5,2.875
11.485858,target,6,3.0588235294117645
11.575138,target,1,2.9444444444444446
11.741882,parent,1,2.0
12.070791,target,3,2.9473684210526314
12.243919,target,2,2.9
12.291259,target,7,3.0952380952380953
12.291523,target,5,3.1818181818181817
12.342159,target,4,3.217391304347826
12.371473,target,4,3.25
12.535841,parent,1,1.8
12.724032,parent,6,2.5
12.770724,target,9,3.48
14.071496,parent,1,2.2857142857142856
14.189218,target,4,3.5
14.451974,target,7,3.6296296296296298
14.646905,target,1,3.5357142857142856
14.776982,target,3,3.5172413793103448
14.79783,target,8,3.6666666666666665
14.836344,target,7,3.774193548387097
14.92747,target,4,3.78125
14.968279,target,4,3.787878787878788
15.24048,target,3,3.764705882352941
15.290429,target,7,3.857142857142857
15.41729,target,9,4.0
15.461687,parent,5,2.625
15.482611,target,6,4.054054054054054
15.502482,target,2,4.0
16.364056,target,6,4.051282051282051
17.092445,parent,2,2.5555555555555554
17.112319,target,7,4.125
17.154094,target,9,4.2439024390243905
17.222704,parent,3,2.6
17.824934,target,10,4.380952380952381
18.012095,target,7,4.441860465116279
18.103241,target,1,4.363636363636363
18.36651,target,3,4.333333333333333
18.545213,target,6,4.369565217391305
18.69544,target,4,4.361702127659575
18.928181,target,7,4.416666666666667
18.993287,target,8,4.489795918367347
19.087948,target,7,4.54
19.266652,target,4,4.529411764705882
19.469683,target,12,4.673076923076923
19.51847,target,5,4.679245283018868
20.223838,target,8,4.7407407407407405
20.855751,parent,7,3.0
20.870033,target,6,4.763636363636364
21.42488,parent,4,3.0833333333333335
21.957507,target,12,4.892857142857143
22.113602,target,8,4.947368421052632
22.305747,target,10,5.0344827586206895
22.439973,target,5,5.033898305084746
22.489797,parent,2,3.0
22.535375,parent,10,3.5
22.535632,parent,3,3.466666666666667
22.722927,target,8,5.083333333333333
23.393096,target,1,5.016393442622951
23.942157,target,11,5.112903225806452
24.156535,parent,4,3.5
24.577961,parent,2,3.411764705882353
25.12063,parent,4,3.4444444444444446
25.506463,target,11,5.2063492063492065
25.822118,parent,3,3.4210526315789473
25.976175,target,10,5.28125
26.747488,parent,8,3.65
26.900211,target,11,5.369230769230769
26.976144,parent,9,3.9047619047619047
27.143771,parent,10,4.181818181818182
27.196694,parent,3,4.130434782608695
27.334353,parent,3,4.083333333333333
28.140742,parent,11,4.36
28.462978,target,14,5.5
28.490475,target,17,5.6716417910447765
28.72993,target,3,5.632352941176471
28.770894,target,3,5.594202898550725
28.844408,target,18,5.771428571428571
28.993385,target,1,5.704225352112676
29.308544,parent,5,4.384615384615385
29.652495,parent,10,4.592592592592593
30.048092,target,8,5.736111111111111
30.066592,target,16,5.876712328767123
30.353878,parent,9,4.75
30.505591,target,3,5.837837837837838
30.606688,parent,3,4.689655172413793
30.741754,target,15,5.96
30.794171,target,20,6.144736842105263
30.975595,target,19,6.311688311688312
31.302364,parent,8,4.8
31.322955,parent,2,4.709677419354839
31.644812,target,20,6.487179487179487
31.736959,target,3,6.443037974683544
31.852307,target,21,6.625
31.852471,parent,14,5.0
31.942325,target,22,6.814814814814815
32.004565,target,20,6.975609756097561
32.315572,parent,9,5.121212121212121
32.399776,target,22,7.156626506024097
32.503338,parent,11,5.294117647058823
32.623982,parent,2,5.2
32.851339,target,15,7.25
32.898169,target,17,7.364705882352941
33.00153,parent,5,5.194444444444445
33.28129,parent,1,5.081081081081081
33.535575,parent,21,5.5
33.593663,parent,19,5.846153846153846
33.654225,target,6,7.348837209302325
33.681715,parent,1,5.725
33.80692,parent,3,5.658536585365853
34.220873,parent,11,5.785714285714286
34.342042,parent,1,5.674418604651163
34.884008,target,7,7.344827586206897
34.991615,target,3,7.295454545454546
35.480092,target,5,7.269662921348314
35.568899,target,6,7.2555555555555555
35.592141,target,2,7.197802197802198
35.609974,parent,2,5.590909090909091
36.532373,target,5,7.173913043478261
36.962069,target,2,7.118279569892473
36.9815,target,21,7.26595744680851
37.229859,parent,17,5.844444444444444
37.527823,target,26,7.463157894736842
37.72669,parent,18,6.108695652173913
37.8319,target,23,7.625
38.061234,target,4,7.587628865979381
38.618177,parent,23,6.468085106382978
38.694641,target,22,7.73469387755102
38.813537,parent,5,6.4375
39.303678,parent,18,6.673469387755102
39.5272,parent,2,6.58
39.554159,parent,22,6.882352941176471
39.554388,parent,18,7.096153846153846
40.216456,target,4,7.696969696969697
40.267744,parent,18,7.30188679245283
40.590702,target,5,7.67
40.783488,target,10,7.693069306930693
