time,fps,avg_fps
1.768767,60.155069,60.130636
2.769196,60.061764,60.225760
3.769602,60.101564,60.040723
4.769526,61.163300,68.125437
5.769891,59.985480,59.968525
6.770021,59.995672,60.005824
7.770264,60.047764,60.005465
8.770468,60.098543,60.028708
9.771178,59.933251,59.988562
10.771568,59.906384,59.973272
11.772506,59.951016,60.099444
12.77266,60.040589,59.974407
13.773351,60.107833,60.328326
14.774516,60.166517,60.572271
15.774559,60.096708,60.139270
16.775584,60.069753,60.030400
17.776282,60.127816,60.815344
18.775906,60.051795,60.103790
19.776409,60.126068,59.988024
20.776957,60.083485,60.446673
21.777216,60.069817,60.184321
22.778359,60.140027,60.812595
23.778421,60.010934,60.950500
24.778852,60.028176,60.367429
25.77964,60.071835,60.340195
26.779568,60.288726,61.257119
27.780254,60.369304,61.129216
28.781132,60.155194,61.479422
29.78173,60.195510,61.258432
30.782829,60.190167,61.179406
31.782253,60.358617,60.944356
32.783309,60.315135,61.057754
33.783315,60.258634,61.708873
34.782924,60.068562,61.157207
35.783359,60.383863,62.061690
36.784888,60.217955,61.292110
37.785309,60.627774,65.234676
38.786702,60.498685,61.612180
39.786442,60.556218,63.346766
40.788117,60.363574,61.293639
41.788576,60.386259,62.100858
42.78714,60.620250,62.441233
43.788411,60.760395,62.251493
44.788492,60.901496,62.647071
45.789994,61.610809,66.910241
46.790609,60.921816,64.677210
47.791471,60.142996,59.489715
48.790566,60.649210,64.998181
49.790288,61.026233,61.965311
50.791747,60.315281,62.014235
51.792681,60.196180,62.555786
52.791988,60.369036,62.755190
53.792501,61.120143,63.250057
54.793585,60.533252,62.988902
55.794378,61.040954,66.592447
56.79323,61.364892,64.081408
57.795018,60.890160,63.185114
58.797194,61.256433,63.712925
59.796729,60.673068,65.211207
60.798258,61.556784,66.199749
61.796044,61.080402,64.239157
62.799766,61.015535,64.539816
63.797382,61.629183,65.290674
64.800684,61.502364,64.850163
65.798815,61.224843,64.823551
66.800301,60.518346,64.346138
67.80048,61.269417,67.071093
68.80149,60.957879,64.197341
69.800328,60.821852,65.753295
70.804233,61.256711,66.206773
71.804158,60.930085,65.535853
72.801905,61.814027,66.396050
73.805797,61.480532,68.619138
74.805611,62.071088,68.194781
