time,dest_type,steps,avg_steps
4.119092,target,1,1.0
4.713614,target,2,1.5
5.185285,target,3,2.0
5.318807,target,2,2.0
5.818783,target,4,2.4
7.618854,target,3,2.5
8.118754,target,2,2.4285714285714284
8.135559,target,2,2.375
8.401947,target,4,2.5555555555555554
8.402151,target,1,2.4
8.520308,target,2,2.3636363636363638
8.618889,target,6,2.6666666666666665
8.752297,parent,1,1.0
9.485356,target,3,2.6923076923076925
10.002105,target,2,2.642857142857143
10.021212,target,3,2.6666666666666665
10.119084,target,5,2.8125
10.385941,target,2,2.764705882352941
10.469543,target,4,2.8333333333333335
10.685582,parent,3,2.0
10.919145,target,1,2.736842105263158
11.168988,target,5,2.85
12.021883,target,1,2.761904761904762
12.65244,target,1,2.6818181818181817
12.902357,target,7,2.869565217391304
13.402411,parent,3,2.3333333333333335
14.035887,target,6,3.0
14.152353,parent,4,2.75
14.319045,target,6,3.12
14.385635,parent,2,2.6
14.502446,parent,4,2.8333333333333335
14.668891,target,4,3.1538461538461537
15.485919,parent,2,2.7142857142857144
15.585924,target,4,3.185185185185185
15.952611,target,5,3.25
16.369139,target,3,3.2413793103448274
16.535857,target,1,3.1666666666666665
16.685712,target,9,3.3548387096774195
16.75239,target,11,3.59375
16.802518,target,9,3.757575757575758
17.102591,target,3,3.735294117647059
17.18569,target,11,3.942857142857143
17.386585,parent,1,2.5
17.785628,target,8,4.055555555555555
18.035534,target,10,4.216216216216216
18.252451,target,6,4.2631578947368425
18.402417,parent,5,2.7777777777777777
18.469088,parent,1,2.6
19.002046,target,4,4.256410256410256
19.318997,parent,8,3.090909090909091
19.435681,target,7,4.325
20.002634,target,13,4.536585365853658
20.102206,target,16,4.809523809523809
20.135862,target,9,4.906976744186046
20.319307,parent,3,3.0833333333333335
20.336072,target,9,5.0
20.551985,target,15,5.222222222222222
20.668951,target,5,5.217391304347826
20.776344,parent,2,3.0
21.202557,target,7,5.25531914893617
21.635887,target,12,5.395833333333333
21.735685,target,9,5.469387755102041
21.819379,parent,4,3.0714285714285716
21.886131,parent,6,3.2666666666666666
22.48574,parent,3,3.25
22.719307,parent,15,3.9411764705882355
22.902456,target,3,5.42
23.168988,parent,7,4.111111111111111
