time,fps,avg_fps
4.254451,0.291023,0.291023
4.820321,41.143848,38.972073
5.834723,35.281899,47.329423
6.831355,47.110861,49.159459
7.834828,23.635386,33.382903
8.824569,41.395293,35.802131
9.832185,41.036860,36.716408
10.833431,25.177878,29.012065
11.859218,26.360763,33.746528
12.842892,32.126827,30.559125
13.825985,30.881313,35.829384
14.843272,37.954349,37.220799
15.8358,32.977309,35.316718
16.826987,30.078694,31.752748
17.841565,29.484757,31.013228
18.848805,30.625463,30.932900
19.820402,30.314963,31.161645
20.823079,20.378759,27.989701
21.836074,24.080523,22.804799
22.866784,19.862157,26.639259
23.870008,15.211457,19.697755
24.874036,13.588277,18.927999
25.934817,8.109231,17.688467
26.836737,22.082303,16.542411
27.832688,19.275716,20.918712
28.887972,7.504087,15.088399
29.842997,14.421494,12.347425
30.840051,12.375298,12.680933
31.824469,10.018065,11.754900
32.826047,11.148900,10.509413
33.861416,20.052685,15.226403
34.825467,22.003877,20.488988
35.852454,13.790187,21.735542
36.834369,18.638214,15.955241
37.839912,9.347078,17.854558
38.821922,12.540391,14.469514
39.833757,24.149225,26.153967
40.850231,22.134005,21.431350
41.840799,20.118970,25.997865
42.838289,28.179377,29.353364
43.869111,15.825626,24.342765
44.859898,24.258261,24.046223
45.84475,26.782963,23.283509
46.827374,18.617733,23.763078
47.832366,18.007464,26.368080
48.819602,21.287427,21.927788
49.820041,15.589536,22.959356
50.836932,22.813797,24.436669
51.83178,23.585306,28.503662
52.82863,22.264805,27.117736
53.823612,17.404555,23.870094
54.82576,25.551717,19.583704
55.823398,21.659609,21.377978
56.83003,22.554623,21.583631
57.826875,22.496407,22.248898
58.829918,15.319244,25.009569
59.882425,15.197700,22.192126
60.846304,14.465712,21.700459
61.822936,19.974050,21.606699
62.844357,23.501456,22.060338
63.852612,18.586182,19.329034
64.832967,17.516564,16.574414
65.915582,9.726038,14.776666
66.893055,12.046574,14.738232
67.883537,13.739862,15.685238
68.844753,15.071185,17.891042
69.89718,10.173643,14.789298
70.874488,12.416363,11.332426
71.929251,8.200720,13.972982
72.824609,13.904913,16.822234
73.833114,13.849019,15.635598
74.880552,16.174673,17.517493
75.922604,7.744369,14.512973
76.83596,16.493066,16.431115
77.844567,10.855638,16.741997
78.840659,19.860296,15.382598
79.885183,15.061502,17.788036
80.850734,17.164246,18.313614
81.834495,10.731712,16.402447
82.86645,13.694984,20.908477
83.843049,25.546997,24.120098
84.850748,27.589701,21.354210
85.848628,28.244424,22.876873
86.883811,15.849897,22.426051
87.835097,24.038307,27.872272
88.830735,24.716117,28.888622
89.821954,25.673128,26.399263
90.833618,16.749521,25.848011
91.849378,31.229077,30.215446
92.82729,16.529151,24.657055
93.849006,16.808265,28.747682
94.85014,25.282202,25.959625
95.825273,23.826122,23.880965
96.837387,24.241521,23.945103
97.853668,23.883111,29.899532
98.841385,24.088099,26.417205
99.842143,32.522756,30.450084
100.853937,25.560918,30.268271
101.859542,20.415180,25.973920
102.835021,17.385110,27.298259
103.836105,19.268100,28.083575
104.829433,28.720905,27.870025
105.833541,18.058249,30.407072
106.832568,32.986484,32.029866
107.836282,30.903259,31.966099
108.862252,21.294331,24.461773
109.836794,20.766257,26.606970
110.821241,26.848291,30.437082
111.851474,17.355254,24.194063
112.850724,20.704850,30.523487
113.836436,17.787193,23.557569
114.861441,24.521788,29.791075
115.820733,18.851234,24.584022
116.830174,14.591828,19.192734
117.833804,21.662993,21.686310
118.826677,21.903512,21.178011
119.837005,15.081245,22.138793
120.866802,20.117294,18.141225
121.856661,20.957703,17.480831
122.839739,14.104591,21.445578
123.823834,24.134133,21.359088
124.821019,18.310040,21.175657
125.848186,22.330202,26.897431
126.827369,26.180366,24.250576
127.829216,12.935330,24.084386
128.8404,27.967254,28.815246
129.837866,21.527915,25.445301
130.827636,28.791777,24.910229
131.825776,23.811656,24.589223
132.83304,17.506560,27.072834
133.838366,20.123236,27.458239
134.843277,23.069356,25.457935
135.844304,21.036690,22.444785
136.821275,23.105595,28.274109
137.822737,25.262911,28.207508
138.848829,27.816096,28.452261
139.819249,28.693028,25.404264
140.842799,24.657976,30.326649
141.829116,28.948743,31.173377
142.83593,23.896379,32.430301
143.844691,17.497294,25.904917
144.832649,30.508856,28.941900
145.842673,23.257428,24.176645
146.839131,21.866574,23.666865
147.83632,20.636734,20.874341
148.859742,19.585948,22.017314
