time,dest_type,steps,avg_steps
6.807606,target,2,2.0
7.860233,target,1,1.5
9.096907,target,3,2.0
9.370799,target,4,2.5
9.788393,target,2,2.4
10.986845,target,1,2.1666666666666665
11.01261,target,1,2.0
11.199749,target,3,2.125
11.962613,target,2,2.111111111111111
12.328745,target,2,2.1
13.765532,parent,3,3.0
14.715433,target,1,2.0
15.026717,target,6,2.3333333333333335
15.345551,parent,1,2.0
15.422917,target,2,2.3076923076923075
15.969784,target,1,2.2142857142857144
16.233602,target,3,2.2666666666666666
16.294712,target,1,2.1875
16.693462,target,2,2.176470588235294
17.35461,target,6,2.388888888888889
17.451428,target,3,2.4210526315789473
18.376908,target,8,2.7
18.411386,target,8,2.9523809523809526
20.360055,target,3,2.9545454545454546
20.787634,target,4,3.0
20.968291,target,2,2.9583333333333335
21.102408,target,1,2.88
21.102556,target,5,2.9615384615384617
21.143383,parent,1,1.6666666666666667
21.45046,target,8,3.1481481481481484
21.834973,target,11,3.4285714285714284
22.144984,target,6,3.5172413793103448
22.1452,parent,1,1.5
22.333285,target,2,3.466666666666667
22.400302,target,7,3.5806451612903225
22.711596,target,4,3.59375
23.153076,parent,1,1.4
23.358138,target,4,3.606060606060606
23.358345,target,10,3.7941176470588234
23.869033,target,5,3.8285714285714287
24.045922,target,5,3.861111111111111
24.260781,target,10,4.027027027027027
25.137979,parent,12,3.1666666666666665
25.138235,target,5,4.052631578947368
25.374503,target,1,3.9743589743589745
25.623065,parent,8,3.857142857142857
25.744693,target,8,4.075
26.40418,target,4,4.073170731707317
26.546708,target,9,4.190476190476191
26.701669,target,3,4.162790697674419
26.702042,target,7,4.2272727272727275
26.964614,target,8,4.311111111111111
27.057817,parent,5,4.0
27.388716,parent,6,4.222222222222222
27.476064,target,7,4.369565217391305
27.522042,parent,6,4.4
27.831771,target,2,4.319148936170213
28.315007,parent,1,4.090909090909091
28.390497,target,1,4.25
28.451686,parent,9,4.5
28.51214,parent,2,4.3076923076923075
28.589917,parent,10,4.714285714285714
28.755997,target,4,4.244897959183674
28.756139,target,14,4.44
28.950282,target,4,4.431372549019608
29.184805,target,5,4.4423076923076925
29.628469,target,9,4.528301886792453
31.238482,target,5,4.537037037037037
31.721855,target,5,4.545454545454546
31.922819,parent,4,4.666666666666667
32.045775,target,12,4.678571428571429
32.734436,target,13,4.824561403508772
33.860289,parent,5,4.6875
33.908414,parent,4,4.647058823529412
33.998239,target,11,4.931034482758621
34.458783,target,6,4.9491525423728815
34.543286,target,14,5.1
34.543471,target,8,5.147540983606557
34.778099,target,10,5.225806451612903
34.824071,target,11,5.317460317460317
35.464619,target,1,5.25
35.504387,target,1,5.184615384615385
35.975121,target,4,5.166666666666667
36.237264,parent,9,4.888888888888889
36.635689,parent,9,5.105263157894737
36.790766,parent,2,4.95
36.832854,target,12,5.268656716417911
36.833087,parent,2,4.809523809523809
37.050887,parent,1,4.636363636363637
37.124653,target,2,5.220588235294118
38.197376,parent,6,4.695652173913044
39.096824,target,2,5.173913043478261
39.097019,target,16,5.328571428571428
39.470414,parent,4,4.666666666666667
39.832667,target,14,5.450704225352113
39.832857,target,18,5.625
40.256529,target,11,5.698630136986301
40.521933,parent,20,5.28
41.20689,target,13,5.797297297297297
41.452126,parent,11,5.5
41.582917,parent,10,5.666666666666667
41.687276,parent,10,5.821428571428571
42.083877,target,15,5.92
42.250771,parent,7,5.862068965517241
42.974473,target,25,6.171052631578948
43.172854,parent,4,5.8
44.042444,target,16,6.298701298701299
44.200926,parent,16,6.129032258064516
44.382715,parent,1,5.96875
44.517254,parent,10,6.090909090909091
45.043418,target,2,6.243589743589744
46.00942,parent,14,6.323529411764706
46.127303,target,1,6.177215189873418
47.377843,target,5,6.1625
47.638626,parent,15,6.571428571428571
47.99277,parent,10,6.666666666666667
48.307203,target,13,6.246913580246914
48.414095,parent,23,7.108108108108108
48.786164,parent,19,7.421052631578948
48.786253,parent,13,7.564102564102564
48.786312,target,12,6.317073170731708
48.959532,parent,6,7.525
49.122056,target,4,6.289156626506024
49.262326,parent,4,7.439024390243903
50.077871,target,22,6.476190476190476
50.120009,parent,18,7.690476190476191
50.120219,target,22,6.658823529411765
50.762454,target,17,6.77906976744186
50.899414,target,12,6.839080459770115
51.546846,target,22,7.011363636363637
51.790085,target,18,7.134831460674158
52.234279,parent,13,7.813953488372093
52.234418,parent,20,8.090909090909092
53.289244,target,21,7.288888888888889
53.289567,parent,10,8.133333333333333
53.39293,target,22,7.450549450549451
53.647321,target,21,7.5978260869565215
53.82242,target,5,7.56989247311828
54.044803,parent,9,8.152173913043478
54.04498,parent,10,8.191489361702128
54.535195,parent,11,8.25
55.198142,target,4,7.531914893617022
55.35405,target,7,7.526315789473684
55.671363,parent,1,8.10204081632653
55.784691,parent,5,8.04
56.006506,target,2,7.46875
56.173651,parent,15,8.176470588235293
56.223766,target,24,7.639175257731959
56.388612,parent,17,8.346153846153847
56.992608,target,21,7.775510204081633
57.345571,target,7,7.767676767676767
57.487631,target,5,7.74
57.755091,parent,1,8.20754716981132
57.932616,target,1,7.673267326732673
58.421789,parent,19,8.407407407407407
58.421951,parent,1,8.272727272727273
58.509345,parent,19,8.464285714285714
58.765766,parent,5,8.403508771929825
58.95561,target,2,7.617647058823529
59.299882,target,18,7.718446601941747
59.656911,parent,1,8.275862068965518
59.762213,target,22,7.855769230769231
60.669577,target,20,7.9714285714285715
60.80106,target,17,8.056603773584905
61.010747,target,23,8.19626168224299
61.140502,target,19,8.296296296296296
61.448864,parent,7,8.254237288135593
62.131872,target,11,8.321100917431192
62.20479,parent,14,8.35
63.448113,target,6,8.3
63.678067,parent,3,8.262295081967213
64.110936,parent,14,8.35483870967742
64.505606,parent,4,8.285714285714286
64.832048,target,5,8.27027027027027
65.307057,parent,9,8.296875
65.394654,parent,23,8.523076923076923
65.394837,target,10,8.285714285714286
65.584219,target,26,8.442477876106194
65.761072,target,25,8.587719298245615
65.761206,target,1,8.521739130434783
65.987039,target,30,8.706896551724139
65.98724,parent,5,8.469696969696969
66.120224,target,9,8.709401709401709
66.89043,parent,8,8.462686567164178
67.401127,target,4,8.669491525423728
67.509956,target,10,8.680672268907562
67.510138,target,30,8.858333333333333
67.658206,parent,12,8.514705882352942
67.882387,target,5,8.826446280991735
67.921001,target,26,8.967213114754099
67.959931,parent,8,8.507246376811594
68.076108,target,14,9.008130081300813
68.122304,parent,13,8.571428571428571
68.294761,parent,2,8.47887323943662
68.969926,target,22,9.112903225806452
68.970048,parent,21,8.652777777777779
69.110834,parent,5,8.602739726027398
69.556561,parent,26,8.837837837837839
69.638429,parent,1,8.733333333333333
69.894925,parent,3,8.657894736842104
70.000413,target,15,9.16
70.088005,target,1,9.095238095238095
70.088817,target,37,9.31496062992126
70.359942,target,2,9.2578125
71.185571,parent,2,8.571428571428571
71.284739,parent,9,8.576923076923077
71.461128,parent,2,8.49367088607595
71.461257,parent,6,8.4625
71.502292,parent,17,8.567901234567902
71.557975,parent,1,8.475609756097562
71.805903,target,2,9.2015503875969
72.048872,parent,27,8.698795180722891
73.191523,parent,11,8.726190476190476
73.23981,target,8,9.192307692307692
74.019694,parent,10,8.741176470588234
74.817113,target,28,9.335877862595419
75.041649,parent,3,8.674418604651162
75.360524,parent,24,8.850574712643677
75.688765,parent,1,8.761363636363637
76.413377,parent,26,8.955056179775282
76.834615,parent,11,8.977777777777778
76.88211,parent,8,8.967032967032967
77.225562,parent,3,8.902173913043478
77.568602,target,2,9.280303030303031
77.647803,parent,6,8.870967741935484
78.302836,target,46,9.556390977443609
78.551346,target,8,9.544776119402986
78.95889,target,6,9.518518518518519
79.13639,target,34,9.698529411764707
79.456823,parent,7,8.851063829787234
79.550882,parent,19,8.957894736842105
79.812298,parent,10,8.96875
80.049321,parent,12,9.0
83.280286,target,10,9.700729927007298
83.394645,target,17,9.753623188405797
84.234066,target,21,9.83453237410072
84.433457,target,3,9.785714285714286
85.354806,parent,40,9.316326530612244
85.477772,target,33,9.950354609929079
85.610318,target,39,10.154929577464788
85.670252,parent,39,9.616161616161616
85.670388,parent,17,9.69
85.979945,parent,14,9.732673267326733
86.046591,parent,3,9.666666666666666
86.148214,target,8,10.13986013986014
86.458283,target,1,10.07638888888889
86.458486,target,18,10.13103448275862
86.766434,parent,8,9.650485436893204
87.660568,target,34,10.294520547945206
87.914592,parent,30,9.846153846153847
88.054462,parent,27,10.00952380952381
88.502781,parent,2,9.933962264150944
88.955742,target,17,10.34013605442177
89.541352,target,14,10.364864864864865
89.611066,target,7,10.342281879194632
89.611249,parent,1,9.850467289719626
89.6506,parent,1,9.768518518518519
89.650798,target,15,10.373333333333333
89.984964,target,12,10.3841059602649
90.192756,target,5,10.348684210526315
91.046361,parent,9,9.761467889908257
91.554456,target,29,10.470588235294118
91.758734,parent,19,9.845454545454546
91.758861,target,32,10.61038961038961
92.409221,target,11,10.612903225806452
92.76689,parent,13,9.873873873873874
93.067676,target,16,10.647435897435898
93.389422,target,9,10.636942675159236
93.47721,parent,38,10.125
93.506001,parent,2,10.053097345132743
93.847552,target,42,10.835443037974683
94.095707,target,18,10.880503144654089
94.15169,target,17,10.91875
94.282079,target,8,10.900621118012422
94.379251,target,1,10.839506172839506
94.48954,target,21,10.901840490797547
94.627624,target,5,10.865853658536585
94.849289,target,26,10.957575757575757
95.581051,target,13,10.96987951807229
95.824573,target,15,10.994011976047904
97.030329,parent,5,10.008771929824562
97.162174,parent,11,10.017391304347827
97.570836,target,5,10.958333333333334
97.769949,parent,18,10.086206896551724
97.892311,target,16,10.988165680473372
99.103314,parent,3,10.025641025641026
99.208753,target,14,11.005882352941176
99.407889,parent,40,10.279661016949152
99.614974,parent,3,10.218487394957982
100.425581,parent,29,10.375
101.112838,target,5,10.970760233918128
101.204358,target,11,10.970930232558139
101.273369,target,8,10.953757225433526
101.700048,parent,2,10.305785123966942
102.42224,parent,44,10.581967213114755
102.791251,target,18,10.994252873563218
103.380709,parent,2,10.512195121951219
103.865361,target,2,10.942857142857143
103.959658,parent,26,10.637096774193548
103.99115,parent,7,10.608
104.220524,target,15,10.965909090909092
104.220624,parent,44,10.873015873015873
105.160951,target,18,11.005649717514125
105.350771,target,2,10.955056179775282
105.714313,target,49,11.167597765363128
106.197318,parent,2,10.803149606299213
106.599731,target,13,11.177777777777777
106.67741,parent,10,10.796875
106.742541,parent,8,10.775193798449612
107.084233,parent,5,10.73076923076923
107.140451,parent,39,10.946564885496183
107.389852,parent,18,11.0
107.5067,target,12,11.182320441988951
108.449899,parent,6,10.962406015037594
109.315153,parent,8,10.940298507462687
109.394009,parent,7,10.911111111111111
109.532574,parent,14,10.933823529411764
109.621651,parent,8,10.912408759124087
110.319383,parent,24,11.007246376811594
110.617374,target,22,11.241758241758241
110.67433,target,6,11.21311475409836
111.158694,target,2,11.16304347826087
111.357278,target,22,11.221621621621622
111.850396,parent,3,10.949640287769784
112.032418,target,42,11.387096774193548
112.183859,parent,9,10.935714285714285
112.275564,parent,21,11.00709219858156
113.723844,target,53,11.609625668449198
113.724004,target,14,11.622340425531915
113.724151,parent,11,11.007042253521126
113.779599,target,34,11.74074074074074
113.77976,target,3,11.694736842105263
114.420061,parent,16,11.041958041958042
114.701886,target,4,11.654450261780104
114.97549,target,5,11.619791666666666
115.125722,target,3,11.575129533678757
115.232136,parent,19,11.097222222222221
115.350595,target,41,11.72680412371134
116.389279,target,7,11.702564102564102
116.760193,target,26,11.775510204081632
116.829335,parent,19,11.151724137931035
116.959715,target,69,12.065989847715736
117.189106,parent,4,11.102739726027398
117.398836,target,16,12.085858585858587
117.482084,target,29,12.170854271356784
117.594616,target,8,12.15
117.884012,target,56,12.368159203980099
117.88414,parent,17,11.142857142857142
118.189905,target,24,12.425742574257425
119.457599,target,2,12.374384236453203
119.879132,parent,16,11.175675675675675
120.341952,target,64,12.627450980392156
121.415975,target,22,12.673170731707318
121.566888,parent,1,11.10738255033557
121.981505,parent,4,11.06
122.019034,target,5,12.635922330097088
122.019225,target,35,12.743961352657005
122.253752,target,78,13.057692307692308
122.360683,target,3,13.009569377990431
122.909878,parent,4,11.013245033112582
123.23053,target,9,12.99047619047619
