time,num_entities,avg_entities
5.255021,43809.000000,43809.000000
5.85272,43812.533128,43811.235294
6.846761,43816.592103,43814.900000
7.846336,43820.965785,43820.050000
8.850369,43823.924960,43822.850000
9.864088,43828.907172,43828.000000
10.845144,43835.620932,43834.350000
11.851882,43842.489593,43840.400000
12.857637,43847.999478,43848.000000
13.859352,43852.934896,43851.500000
14.854594,43858.971935,43858.100000
15.8639,43865.319295,43864.500000
16.848216,43873.458409,43872.050000
17.853368,43877.979245,43877.200000
18.848376,43881.978680,43881.050000
19.84163,43888.516666,43886.600000
20.864832,43896.313832,43895.500000
21.863712,43905.401931,43904.300000
22.857093,43913.287942,43909.750000
23.861323,43918.907398,43917.400000
24.875917,43930.145806,43927.550000
25.855413,43932.894724,43932.300000
26.865661,43936.996191,43936.300000
27.865333,43938.807047,43938.000000
28.871532,43942.794155,43941.150000
29.880262,43943.000074,43943.200000
30.87081,43944.301707,43943.350000
31.869781,43944.011764,43944.700000
32.875372,43944.999904,43944.800000
33.842126,43945.329931,43945.700000
34.866454,43945.538772,43945.400000
35.863932,43945.000000,43945.000000
36.881181,43946.994116,43945.950000
37.844503,43948.000874,43948.150000
38.866588,43948.999595,43948.650000
39.853014,43947.302642,43947.700000
40.849003,43950.998124,43950.500000
41.851579,43954.012633,43953.250000
42.852243,43954.093267,43954.150000
43.875006,43954.000637,43954.100000
44.9035,43951.718053,43951.700000
45.850115,43951.082567,43951.550000
46.847346,43950.999884,43951.000000
47.84453,43950.000081,43950.450000
48.853358,43949.737564,43950.050000
49.890853,43952.103559,43951.350000
50.883788,43955.929526,43954.550000
51.862876,43957.827313,43956.650000
52.883284,43952.862830,43956.050000
53.855719,43952.872283,43954.000000
54.843894,43953.982858,43953.700000
55.842862,43954.080638,43954.350000
56.873035,43956.997417,43955.450000
57.875516,43955.501314,43956.800000
58.863243,43952.182080,43953.900000
59.868185,43951.278154,43952.900000
60.854545,43951.889613,43950.750000
61.882264,43951.013250,43951.950000
62.886942,43951.036633,43950.550000
63.851927,43952.174821,43951.950000
64.842227,43952.845183,43952.150000
65.87067,43952.087937,43952.650000
66.850699,43952.084046,43952.400000
67.873116,43950.429617,43952.050000
68.871143,43951.710561,43951.050000
69.872985,43952.903862,43952.950000
70.88866,43955.981851,43954.700000
71.859775,43955.985803,43956.100000
72.87699,43955.999909,43955.700000
73.862039,43954.015124,43954.800000
74.842547,43955.986077,43955.100000
75.84681,43956.000000,43956.000000
76.872169,43956.563809,43955.750000
77.866197,43956.000278,43956.350000
78.851793,43957.175405,43956.550000
79.855919,43959.111622,43958.100000
80.845795,43959.197001,43960.450000
81.874446,43958.000003,43958.000000
82.881275,43957.000029,43957.150000
83.872912,43955.988097,43955.700000
84.84952,43952.118022,43953.550000
85.845495,43952.024415,43952.050000
86.868883,43951.000068,43951.250000
87.852959,43951.999964,43951.700000
88.877788,43952.000000,43952.000000
89.871749,43952.999686,43952.500000
90.864208,43953.441577,43953.050000
91.875808,43954.528879,43955.050000
92.847776,43954.481189,43954.500000
93.85604,43955.702358,43955.100000
94.852589,43955.921747,43955.600000
95.854605,43962.050943,43959.400000
96.886289,43962.087637,43962.800000
97.85865,43960.305600,43961.100000
98.885974,43959.957780,43959.550000
99.877851,43959.177486,43959.950000
100.848307,43958.000005,43958.100000
101.850446,43960.966863,43959.800000
102.874117,43960.043236,43960.800000
103.850665,43958.000947,43958.800000
104.849308,43960.287836,43959.900000
105.875852,43959.949044,43959.650000
106.862926,43960.507877,43959.200000
107.852357,43962.003274,43961.800000
108.862677,43959.009613,43960.700000
109.883971,43960.218152,43959.500000
110.853354,43958.884332,43959.450000
111.872048,43959.479965,43959.050000
112.869331,43960.000003,43960.150000
113.882696,43959.621858,43960.300000
114.888822,43962.933623,43961.450000
115.880917,43963.120133,43963.000000
116.861805,43961.032227,43962.500000
117.930471,43961.000000,43961.550000
118.880029,43959.071996,43961.250000
119.863889,43959.999202,43959.500000
120.860394,43957.000676,43958.250000
121.875623,43959.000000,43957.600000
122.865208,43958.000003,43958.300000
123.9128,43960.000000,43958.950000
124.849833,43955.011839,43957.500000
125.852914,43957.568355,43956.100000
126.858126,43959.354124,43958.550000
127.86232,43959.000001,43959.000000
128.857491,43959.000000,43959.000000
129.855836,43958.977937,43958.250000
130.842354,43960.985412,43960.350000
131.886077,43960.976661,43960.300000
132.852664,43959.996748,43959.600000
133.855482,43959.000597,43959.000000
134.85551,43961.974739,43961.500000
135.842079,43962.877460,43961.800000
136.86733,43963.995346,43963.800000
137.860442,43964.812043,43963.450000
138.848239,43963.046128,43964.000000
139.860711,43963.000000,43963.000000
140.869787,43962.634730,43962.000000
141.870778,43960.010838,43960.500000
142.841517,43960.991727,43960.700000
143.848766,43959.664928,43960.250000
144.861105,43961.992831,43961.250000
145.857445,43963.293074,43962.650000
146.870074,43964.102619,43963.850000
147.845729,43964.014816,43964.350000
148.844928,43965.981533,43965.500000
149.850996,43965.750054,43967.000000
150.863926,43965.939564,43965.350000
151.850605,43964.019190,43964.600000
152.855625,43964.715961,43963.650000
153.851053,43965.699121,43964.350000
154.853727,43965.007979,43965.450000
155.862303,43962.030275,43962.700000
156.865639,43959.001451,43959.450000
157.853553,43956.994501,43956.600000
158.862836,43956.000116,43956.000000
159.843429,43956.000000,43956.000000
160.873929,43959.996754,43959.600000
161.86926,43959.695855,43959.950000
162.84257,43959.999986,43960.000000
163.849895,43963.348507,43960.500000
164.860243,43963.993897,43963.650000
165.844741,43967.704891,43966.800000
166.849299,43967.787271,43967.550000
167.852757,43970.509562,43969.650000
168.865433,43971.391023,43972.050000
169.844805,43968.005270,43968.450000
170.853525,43968.695024,43967.700000
171.858238,43966.794896,43967.700000
172.863571,43964.107896,43964.650000
173.86973,43967.300862,43967.450000
174.8497,43969.001394,43968.950000
175.884509,43964.010316,43965.950000
176.849087,43964.992961,43964.600000
177.860005,43962.154330,43963.150000
178.844302,43960.999633,43960.850000
179.850582,43960.026216,43960.550000
180.860881,43959.000036,43959.000000
181.870498,43959.000000,43959.000000
182.869632,43961.874905,43960.950000
183.850603,43961.002952,43961.450000
184.858336,43960.980308,43960.600000
185.872169,43961.934975,43963.550000
186.868539,43959.048266,43959.950000
187.851416,43959.000908,43959.100000
188.854064,43957.995940,43957.950000
189.879044,43957.955730,43957.250000
190.850342,43959.526955,43959.050000
191.868238,43956.021533,43957.100000
192.860201,43957.847873,43957.650000
193.844746,43959.278585,43959.250000
194.858971,43959.009247,43959.050000
195.847458,43960.368106,43960.050000
196.854926,43960.083052,43960.350000
197.870217,43960.000000,43960.000000
198.870797,43958.325028,43958.050000
199.850717,43959.999994,43960.000000
200.866267,43962.981593,43962.200000
201.864586,43961.999248,43961.800000
202.854575,43961.000007,43961.000000
203.853693,43961.000176,43961.000000
204.84805,43960.962948,43960.400000
205.852944,43959.000379,43959.050000
206.856881,43960.929967,43960.250000
207.867444,43961.937139,43961.250000
208.860881,43960.018460,43960.950000
209.860784,43960.002983,43960.350000
210.871304,43961.999560,43961.950000
211.85523,43961.716124,43961.700000
212.852898,43960.234715,43960.800000
213.865149,43958.000128,43958.000000
214.846397,43957.095287,43957.750000
215.870102,43956.969931,43956.350000
216.874564,43957.964062,43957.350000
217.867149,43958.000000,43958.000000
218.86934,43957.000403,43957.050000
219.842093,43957.974033,43957.350000
220.84399,43957.954779,43957.900000
221.855961,43958.961962,43958.250000
222.860305,43959.894617,43959.050000
223.857826,43958.226120,43959.350000
224.856107,43960.455204,43960.800000
225.842761,43963.970696,43962.900000
226.845994,43964.920074,43964.300000
227.855891,43964.646251,43964.900000
228.86019,43966.869783,43966.900000
229.845572,43967.000000,43967.000000
230.855055,43968.034475,43968.150000
231.857582,43964.014718,43964.800000
232.856408,43964.011518,43963.800000
233.865168,43964.971434,43964.000000
234.851762,43963.088780,43963.800000
235.861742,43962.000007,43962.000000
236.853349,43960.917717,43961.150000
237.846421,43961.000000,43961.000000
238.850491,43960.168179,43959.200000
239.869265,43960.879250,43960.600000
240.855329,43959.004613,43959.350000
241.865944,43957.772207,43957.200000
242.84264,43960.003326,43960.150000
243.844182,43960.534334,43960.100000
244.8671,43961.999983,43962.000000
245.862707,43962.001173,43962.200000
246.865679,43962.038794,43962.500000
247.850123,43963.950918,43962.700000
248.855783,43967.147559,43967.450000
249.853179,43965.764783,43965.200000
250.869323,43966.996903,43966.700000
251.842422,43966.256682,43966.450000
252.849724,43964.198092,43964.450000
253.844421,43963.124486,43963.400000
254.867441,43964.999991,43965.000000
255.867036,43963.254963,43964.050000
256.843246,43964.992890,43964.600000
257.865741,43964.447170,43964.300000
258.868377,43964.385408,43964.000000
259.867482,43967.299381,43966.700000
260.854932,43967.074846,43967.100000
261.862539,43967.329252,43967.850000
262.868711,43966.019476,43966.550000
263.843051,43966.999989,43967.000000
264.873489,43966.720344,43966.650000
265.859887,43966.999999,43967.000000
266.852834,43967.035034,43967.550000
267.844087,43969.992272,43969.300000
268.845726,43969.779614,43969.200000
269.859307,43968.654399,43968.200000
270.854852,43968.091910,43967.250000
271.849423,43967.727370,43968.650000
272.85044,43967.031968,43967.600000
273.847419,43965.647803,43967.350000
274.845456,43965.086370,43965.200000
275.854815,43963.341284,43964.500000
276.845932,43966.781342,43966.300000
277.856023,43966.969308,43965.850000
278.846944,43967.116905,43967.500000
279.848723,43966.295975,43966.000000
280.843579,43962.315617,43963.600000
281.868823,43962.998562,43962.750000
282.844463,43961.315124,43962.800000
283.854747,43961.429930,43961.350000
284.850667,43963.596859,43962.150000
285.849219,43962.755257,43963.750000
286.848521,43963.177635,43963.250000
287.864852,43960.779696,43960.250000
288.871005,43960.050462,43960.650000
289.853736,43959.642629,43959.200000
290.857825,43958.978344,43958.450000
291.865809,43959.000000,43959.000000
292.870832,43958.999865,43959.000000
293.869764,43959.885537,43959.400000
294.858475,43959.002129,43959.250000
295.859226,43956.158094,43956.300000
296.846695,43956.591398,43957.450000
297.861661,43956.999121,43956.000000
298.847169,43955.960099,43955.800000
299.867812,43956.294781,43956.850000
300.855442,43955.050331,43956.050000
301.867485,43954.379764,43954.100000
302.864891,43956.335061,43956.650000
303.859999,43954.988397,43954.400000
304.859064,43954.052041,43954.950000
305.854272,43954.844255,43954.600000
306.864734,43959.549419,43959.100000
307.863534,43959.830666,43958.800000
308.857533,43956.667613,43957.400000
309.845067,43957.529018,43957.500000
310.850691,43959.999971,43960.000000
311.87456,43961.438602,43960.600000
312.87144,43960.999495,43960.850000
313.859973,43963.990997,43963.550000
314.873889,43964.999862,43965.000000
315.858388,43963.008259,43963.450000
316.865873,43962.005734,43962.350000
317.867918,43963.775491,43962.400000
318.849271,43964.989462,43964.800000
319.844237,43965.015611,43965.500000
320.866163,43964.000014,43964.000000
321.861194,43962.817805,43962.900000
322.844902,43962.480088,43963.000000
323.863184,43963.263815,43963.250000
324.860705,43962.576980,43961.850000
325.858695,43963.584037,43962.700000
326.84656,43960.108904,43960.850000
327.842882,43961.001619,43959.500000
328.861183,43962.764101,43962.450000
329.842196,43962.999999,43963.000000
330.852822,43964.970050,43964.150000
331.871,43967.333225,43967.500000
332.858558,43964.102919,43965.250000
333.857639,43963.000162,43963.000000
334.87005,43962.000145,43962.000000
335.842512,43961.868367,43962.200000
336.866955,43960.995056,43960.900000
337.867593,43961.770647,43961.200000
338.843004,43963.641070,43962.950000
339.844086,43966.039822,43966.000000
340.849179,43965.784423,43965.800000
341.874419,43967.056206,43967.650000
342.843144,43967.994644,43967.400000
343.869602,43970.968561,43969.700000
