time,fps,avg_fps
5.254994,0.229914,0.229914
5.852636,22.962907,29.641664
6.84672,34.082661,37.073183
7.846255,34.935995,37.342403
8.850336,30.352339,34.729428
9.864046,44.703657,42.244242
10.845112,47.694597,46.269116
11.851843,37.946787,39.159347
12.857601,36.701620,37.721831
13.859308,36.847527,39.206424
14.854576,37.664272,37.100052
15.863854,33.371188,36.016331
16.848198,35.296100,36.400755
17.85334,34.491966,34.651123
18.848357,33.975373,33.508551
19.841605,29.755332,32.135389
20.864808,32.152949,32.504063
21.863671,27.815428,31.052666
22.857051,32.141862,31.282673
23.861298,26.903214,29.531119
24.875891,26.704604,27.942223
25.855392,24.857518,25.861434
26.865626,24.520873,24.997341
27.865229,24.147024,23.804513
28.871498,23.803500,23.741857
29.880217,23.751971,23.953567
30.870779,25.135632,24.538220
31.869742,24.381814,24.055795
32.875333,26.200313,24.206672
33.842081,24.063956,24.199380
34.86641,23.330818,23.624266
35.863885,22.904196,23.625489
36.881152,23.269394,22.900763
37.844453,23.004508,22.964186
38.866569,23.560729,23.550153
39.852996,23.137140,22.449832
40.848978,23.615652,23.335081
41.85156,22.384956,22.991365
42.852226,17.283129,22.343228
43.874976,16.378001,18.366690
44.903463,14.842892,20.022121
45.850096,22.144775,21.549145
46.847327,22.832915,22.073362
47.8445,21.277634,21.298503
48.85332,21.627322,22.081838
49.89078,19.937468,20.474044
50.883762,19.153489,21.379778
51.862825,22.929857,22.882205
52.883258,22.085231,23.819150
53.85569,21.984678,22.926771
54.843862,23.535509,22.619567
55.842834,20.781951,22.403905
56.873007,19.554415,21.462251
57.875491,19.361529,21.476692
58.863218,21.011031,22.508159
59.868163,21.074944,22.054448
60.854525,22.658881,22.383377
61.882224,21.816353,22.749179
62.886903,22.240352,23.023773
63.851902,23.404913,23.128722
64.842194,23.640526,23.309932
65.870645,23.464677,23.514391
66.850674,22.496712,23.617082
67.8731,24.003480,22.708097
68.871041,22.991292,24.045250
69.87296,24.196878,23.315343
70.888581,20.985240,23.035856
71.859748,21.413352,20.490803
72.876955,20.735199,22.230900
73.862008,22.322437,22.715584
74.842528,21.989172,22.549263
75.846789,22.522463,22.357888
76.872142,24.402478,23.698277
77.866176,23.730364,23.386420
78.851774,22.901974,22.689552
79.85589,23.364883,22.400607
80.845778,19.704559,22.500055
81.874413,23.032798,22.629354
82.881254,24.259049,23.231560
83.872885,22.626177,22.370035
84.849503,24.117162,22.724199
85.84547,22.549759,22.450227
86.868855,22.089932,22.509782
87.852922,20.056382,21.711398
88.877758,22.454614,22.413114
89.871732,22.291663,22.356902
90.864179,23.321368,23.237797
91.87578,24.333771,22.278897
92.847759,21.896053,23.664705
93.856012,21.983162,22.865757
94.852569,23.515903,23.321170
95.854581,21.886852,22.252403
96.886264,22.619451,23.396731
97.858553,22.639039,22.835600
98.885946,22.435081,23.390324
99.877833,22.907682,22.595802
100.848265,21.288547,22.028979
101.85041,17.966523,22.327511
102.874072,21.198450,21.903482
103.850645,21.992737,22.960625
104.84927,24.360773,24.238043
105.875671,21.827800,21.769574
106.862897,23.653039,22.422413
107.852338,21.959008,22.517549
108.86265,22.052367,21.103270
109.883946,20.601582,19.543808
110.853336,21.882905,22.083127
111.871977,21.711335,20.168907
112.8693,17.945630,19.820169
113.88267,22.418282,21.188724
114.888786,20.843445,21.924524
115.880889,11.313369,19.791294
116.861778,15.138339,14.934512
117.930433,8.359013,14.964342
118.880009,19.018213,16.221480
119.863872,22.505159,21.610062
120.860363,15.834371,20.915258
121.875595,16.540982,15.781057
122.865176,15.155286,19.678647
123.912755,7.014014,15.339256
124.849743,18.251392,16.766883
125.85289,27.168628,23.385041
126.858111,30.789078,26.388085
127.86226,31.950309,30.857874
128.857445,28.798790,29.926080
129.85581,33.247944,34.209843
130.842321,34.280551,35.034813
131.886049,14.525254,33.423560
132.852641,28.262194,32.523315
133.85542,35.206097,35.314292
134.855479,16.031426,31.496039
135.842057,34.047282,33.334557
136.867316,30.174809,32.370959
137.860426,33.685277,34.735036
138.848202,33.338822,32.755752
139.860696,31.880815,33.597252
140.869766,33.587384,32.440548
141.870752,32.430768,34.837675
142.841481,32.022205,34.718956
143.848742,31.193612,34.408762
144.861088,15.868521,28.395734
145.857411,33.816055,31.370251
146.870051,29.322146,31.169470
147.845713,28.374188,30.204620
148.844905,34.262200,33.130640
149.85098,29.840525,30.145466
150.863911,32.167800,33.011233
151.850567,30.059538,30.539154
152.85561,30.311142,30.606182
153.851025,31.410915,31.477399
154.853687,31.967609,32.079177
155.862282,33.515197,32.100261
156.865616,32.470502,30.998569
157.853531,31.466405,31.697481
158.86281,34.303450,33.742351
159.843406,33.339525,30.941526
160.873901,26.837008,31.457456
161.869219,29.989727,31.784554
162.842555,27.389836,28.614062
163.84987,27.883337,29.179767
164.860228,33.986871,32.209917
165.844707,30.134029,29.989900
166.849243,32.994118,32.020663
167.852729,32.003551,30.430306
168.865396,29.392721,31.334745
169.844778,31.474334,31.727566
170.853503,30.926447,30.731349
171.85821,30.461392,31.040197
172.863545,29.410133,30.649370
173.869699,30.003642,30.314889
174.849664,32.063182,31.731155
175.884472,16.058348,29.610249
176.849057,30.079466,32.030538
177.859982,28.709693,28.165218
178.844276,29.020990,29.692422
179.850558,29.583156,30.376819
180.860865,28.437928,30.417473
181.870483,30.840768,30.211407
182.869598,30.296048,30.618119
183.850581,27.574583,26.966026
184.858302,30.429053,30.925255
185.872151,27.497730,27.760795
186.868514,30.795482,31.166374
187.851398,25.474174,26.253831
188.854041,29.703304,30.117855
189.879017,23.180030,26.241454
190.850327,32.220402,29.848135
191.86822,30.934087,30.857339
192.860178,29.104455,29.433902
193.84473,30.175640,30.418125
194.858947,25.821516,27.104657
195.847406,27.003972,25.701443
196.854889,27.910016,30.050629
197.870201,29.582569,31.135605
198.870762,31.535820,29.925055
199.850695,31.940093,31.533834
200.86624,28.813577,30.933501
201.864572,28.597728,30.043063
202.85456,31.647559,31.932963
203.853677,31.190407,31.356116
204.848035,29.685132,31.041398
205.852918,29.819564,31.307013
206.856855,26.857622,28.912947
207.867419,27.536063,29.198558
208.860843,32.421859,32.041776
209.860758,30.923370,31.037872
210.87128,30.858235,31.422403
211.855215,30.942865,31.563167
212.852876,33.316483,32.843632
213.865133,32.097715,31.024630
214.846374,29.320292,32.002832
215.870064,31.674259,30.392281
216.874543,28.748433,29.373035
217.867132,29.423634,28.556138
218.869325,31.371318,31.638327
219.842066,30.115427,28.128075
220.843968,31.900121,32.420403
221.855934,24.621793,25.998890
222.86029,27.104205,28.477239
223.857808,25.677025,25.706419
224.856092,28.931545,28.921595
225.842746,26.502874,28.704665
226.845979,31.215565,29.565697
227.855842,32.234857,32.343598
228.860165,31.722646,31.710724
229.845558,30.877859,30.274862
230.855032,32.227267,31.900789
231.857516,31.574889,31.780377
232.856384,34.139564,32.552667
