time,num_entities,avg_entities
1.805688,48.157596,43.950000
2.806157,111.020178,105.650000
3.80614,203.623306,195.650000
4.806587,357.312341,344.450000
5.806888,546.221415,530.150000
6.807308,776.518619,758.100000
7.807773,1036.618629,1016.300000
8.807842,1334.884321,1312.050000
9.808787,1652.021863,1626.450000
10.809482,2022.298405,1990.850000
11.810133,2425.461115,2393.450000
12.811367,2830.632266,2796.200000
13.812151,3234.330923,3200.000000
14.813519,3638.082593,3600.300000
15.812468,4042.348143,4007.000000
16.825335,4459.902051,4393.850000
17.799737,4846.757332,4810.950000
18.813855,5248.819609,5212.000000
19.814382,5651.978601,5614.200000
20.815538,6056.104608,6017.600000
21.815991,6458.016139,6423.200000
22.816155,6860.148397,6821.000000
23.812557,7263.825158,7216.850000
24.817108,7665.501941,7629.300000
25.806266,8062.683115,8018.700000
26.817296,8468.550729,8416.600000
27.819611,8867.851481,8824.350000
28.810797,9267.511705,9219.250000
29.815629,9667.983284,9617.750000
30.814716,10065.963481,10016.150000
31.822752,10468.134737,10418.000000
32.81875,10867.790906,10812.600000
33.810172,11272.134169,11208.000000
34.817895,11674.729222,11608.550000
35.823091,12070.974942,12015.000000
36.820218,12474.086211,12416.100000
37.814035,12876.658250,12806.000000
38.813527,13276.326665,13211.150000
39.818874,13673.480802,13621.000000
40.814797,14070.559953,14010.100000
41.82129,14471.488195,14409.850000
42.817972,14871.578503,14819.000000
43.819531,15280.006263,15212.150000
44.820363,15678.020892,15617.050000
45.819258,16080.002219,16011.000000
46.819292,16478.634843,16416.200000
47.827543,16880.541591,16817.750000
48.827168,17284.554502,17212.000000
49.817324,17679.923072,17605.600000
50.815933,18078.434734,18005.000000
51.835575,18505.925786,18394.000000
52.818575,18886.727730,18781.000000
53.822271,19280.827323,19211.600000
54.840329,19700.777910,19577.150000
55.822175,20089.484254,19983.850000
56.826129,20487.768333,20405.300000
57.829378,20891.938118,20812.450000
58.819044,21289.261532,21217.000000
59.816955,21695.610678,21611.900000
60.818977,22089.167565,22017.000000
61.82685,22495.309116,22413.550000
62.827693,22893.119992,22815.750000
63.820681,23299.987060,23217.050000
64.823845,23696.545723,23617.150000
65.83654,24100.433407,24022.600000
66.821063,24501.282673,24415.550000
67.838064,24903.738014,24815.200000
68.830972,25295.304361,25213.150000
69.832619,25697.625252,25612.300000
70.822963,26102.142904,26013.300000
71.826801,26497.170621,26407.800000
72.824547,26896.013977,26808.100000
73.829584,27296.055722,27211.200000
74.829964,27698.178063,27607.850000
75.826248,28099.744267,28008.800000
76.834319,28502.213713,28415.800000
77.843842,28906.688001,28800.250000
78.825478,29305.189154,29204.800000
79.829225,29708.057832,29589.700000
80.822922,30104.747318,29999.050000
81.839776,30508.505461,30407.550000
82.827285,30914.662258,30803.050000
83.836758,31320.466614,31195.050000
84.847346,31712.307436,31612.650000
85.842574,32110.813054,32001.600000
86.834761,32509.343126,32390.250000
87.832853,32911.043339,32790.600000
88.83699,33303.612272,33193.000000
89.83947,33705.742612,33588.750000
90.862954,34111.470193,33985.200000
91.845611,34519.443208,34396.950000
92.844917,34911.781978,34790.000000
93.830616,35306.905793,35183.350000
94.848132,35705.110493,35587.650000
95.856872,36113.580916,35988.700000
96.849969,36507.509271,36383.650000
97.846668,36911.235834,36784.000000
98.850267,37314.320312,37191.850000
99.839251,37713.467687,37585.800000
100.843393,38114.732005,37986.150000
101.838397,38514.050262,38381.000000
102.85111,38915.693689,38793.850000
103.848777,39315.989335,39188.600000
104.856807,39716.802944,39580.950000
105.843777,40112.673365,39986.800000
106.836996,40514.554424,40381.400000
107.844579,40915.820681,40769.000000
108.848957,41323.085220,41181.300000
109.837728,41721.285697,41578.850000
110.85459,42127.667262,41980.600000
111.848474,42537.582657,42326.800000
112.851153,42925.521422,42761.100000
113.85985,43341.617544,43128.600000
114.889553,43748.000000,43507.500000
115.863058,44128.206356,43969.100000
116.855603,44550.000000,44320.400000
117.867327,44932.027688,44742.050000
118.852175,45332.367760,45166.000000
119.85242,45734.936850,45555.650000
120.859754,46128.287457,45969.550000
121.842268,46526.754422,46359.950000
122.858369,46929.795882,46768.900000
123.867023,47327.535655,47167.500000
124.843645,47725.253097,47554.700000
125.848668,48134.091162,47952.200000
126.855397,48527.872907,48368.300000
127.869849,48933.658608,48768.000000
128.863117,49332.560690,49169.250000
129.859012,49731.766713,49558.300000
130.861234,50132.598531,49963.350000
131.847166,50537.515726,50353.750000
132.846407,50934.442905,50754.300000
133.868393,51333.188040,51156.450000
134.851822,51740.969082,51552.200000
135.86896,52131.861972,51948.550000
136.85237,52533.081306,52350.100000
137.850494,52942.889089,52732.400000
138.85708,53337.736257,53142.800000
139.857806,53735.865372,53537.500000
140.879856,54143.765700,53935.400000
141.863925,54534.417278,54338.450000
142.877225,54942.630506,54726.350000
143.889468,55342.000000,55062.050000
144.86924,55736.512522,55527.050000
145.872096,56139.862027,55932.650000
146.851738,56541.497748,56322.450000
147.880443,56944.000000,56717.850000
148.85533,57342.654371,57124.200000
149.884333,57745.000000,57524.500000
150.882811,58148.000000,57900.250000
151.898975,58549.000000,58272.850000
152.859118,58946.824714,58717.800000
153.868406,59347.000000,59116.300000
154.867392,59748.000000,59517.700000
155.869051,60151.000000,59914.000000
156.866908,60551.000000,60321.200000
157.854827,60948.000000,60714.350000
158.859955,61350.000000,61114.650000
159.852786,61752.000000,61510.000000
160.86301,62148.000000,61924.250000
161.86029,62550.000000,62314.050000
162.869891,62949.000000,62715.250000
163.881496,63352.000000,63132.100000
164.876324,63751.000000,63516.350000
165.856572,64150.000000,63915.200000
166.866929,64550.000000,64320.350000
167.855093,64951.000000,64705.550000
168.882644,65349.000000,65114.700000
169.874145,65751.000000,65505.100000
170.865608,66149.000000,65899.300000
171.943951,66550.000000,66264.300000
172.87067,66948.000000,66624.750000
173.890253,67347.000000,67052.800000
174.888889,67745.000000,67371.750000
175.861172,68146.000000,67830.400000
176.884938,68547.000000,68246.250000
177.875474,68948.000000,68657.200000
178.91365,69349.000000,69018.300000
179.88457,69751.000000,69449.750000
180.872776,70152.000000,69866.050000
181.872941,70555.000000,70242.950000
182.869138,70953.000000,70679.450000
183.864384,71349.000000,71061.300000
184.875247,71746.000000,71469.300000
185.877872,72145.000000,71860.400000
186.873545,72544.000000,72268.650000
187.891877,72943.000000,72683.850000
188.866981,73342.000000,73058.350000
189.895759,73742.000000,73482.200000
190.873816,74142.000000,73872.250000
191.862916,74542.000000,74262.650000
192.898552,74942.000000,74682.600000
193.887646,75346.000000,75079.400000
194.866864,75746.000000,75471.300000
195.869641,76143.000000,75869.950000
196.874529,76544.000000,76268.050000
197.892372,76943.000000,76663.100000
198.891102,77344.000000,77073.000000
199.876648,77743.000000,77457.900000
200.904628,78143.000000,77872.500000
201.874079,78545.000000,78253.300000
202.906542,78945.000000,78680.650000
203.87352,79343.000000,79030.000000
204.912374,79741.000000,79418.350000
205.876066,80143.000000,79822.450000
206.867496,80544.000000,80228.150000
207.889644,80945.000000,80629.550000
208.881904,81347.000000,81030.600000
209.90968,81745.000000,81441.550000
210.910407,82149.000000,81851.400000
211.892233,82552.000000,82234.300000
212.905242,82949.000000,82644.750000
213.895116,83349.000000,83033.900000
214.911027,83748.000000,83453.800000
215.936887,84146.000000,83782.350000
216.879344,84544.000000,84166.000000
217.90421,84943.000000,84613.950000
218.902222,85344.000000,85003.550000
219.881712,85746.000000,85400.000000
220.917329,86145.000000,85835.850000
221.897594,86546.000000,86211.050000
222.91194,86947.000000,86626.900000
223.89838,87347.000000,87012.800000
224.916924,87745.000000,87426.500000
225.913111,88145.000000,87810.350000
226.922153,88546.000000,88225.900000
227.889936,88948.000000,88612.650000
228.910698,89346.000000,89027.200000
229.893878,89745.000000,89410.550000
