time,fps,avg_fps
1.805652,60.002226,60.124642
2.806139,59.969466,60.014023
3.806121,60.126383,60.090971
4.80657,60.023392,59.998913
5.806871,60.035116,60.071011
6.807291,60.023283,60.019216
7.807748,59.979179,60.334018
8.80781,60.154986,60.254491
9.808756,59.945891,60.250082
10.809453,60.180880,60.871088
11.810109,60.180312,60.668273
12.811342,60.239486,61.129544
13.812134,61.347318,61.788292
14.813501,60.736536,61.709886
15.812451,60.930841,61.380969
16.825319,41.922495,49.242250
17.799707,64.193080,65.349475
18.81382,60.732206,61.441105
19.814358,60.812569,61.410671
20.8155,60.785501,61.851045
21.815921,62.875478,64.923525
22.816138,62.510370,63.485996
23.812533,61.959598,59.602720
24.817088,63.602809,63.942158
25.806233,61.763823,62.631491
26.817256,57.491979,61.908073
27.819594,61.770768,61.272475
28.810773,61.558307,59.954945
29.815612,58.653772,60.234710
30.814694,59.752475,61.238458
31.822724,60.726777,58.908659
32.818672,59.237212,58.252119
33.810146,52.315381,53.663116
34.817867,51.136356,54.340445
35.823061,57.984379,53.314967
36.820199,57.332526,53.679496
37.813996,50.573159,52.504782
38.813512,53.490244,57.710580
39.818846,60.841871,57.182993
40.81477,58.488403,53.155145
41.821265,58.693388,57.422698
42.817945,61.375983,59.825059
43.819516,53.843700,52.600094
44.820325,57.608977,54.681053
45.819237,52.997180,54.830947
46.819266,57.553863,55.328702
47.827515,56.555137,55.673311
48.827145,52.056151,54.068168
49.817302,51.732061,51.171111
50.815889,55.303452,52.142638
51.835553,40.849323,43.079195
52.818552,43.806771,41.655120
53.822258,53.665577,48.338645
54.840307,35.137577,36.003706
55.822067,43.827427,37.752849
56.826117,47.296316,42.719105
57.829345,49.306234,48.517599
58.819031,54.540598,52.877215
59.816942,46.956378,52.365735
60.818957,56.072840,54.608713
61.826838,48.810511,50.102244
62.827673,55.132058,49.744045
63.820659,48.905573,51.709707
64.823832,53.365913,50.067268
65.836519,49.120884,51.490064
66.821037,44.199807,49.872712
67.838051,43.080185,49.420641
68.830952,53.355518,49.763155
69.832605,48.174904,49.202593
70.82295,46.497158,50.052056
71.826789,48.336433,47.439422
72.824534,50.577682,44.743230
73.82955,51.451372,48.493209
74.829946,49.777228,46.800962
75.826234,49.467859,44.725960
76.8343,51.171736,48.243009
77.843823,41.853541,41.718088
78.825464,45.014035,44.672693
79.829205,40.490877,38.523299
80.822895,42.351206,41.628909
81.839761,45.728177,41.425796
82.827273,38.674935,41.035809
83.836734,40.044119,38.610612
84.847328,43.284401,41.738051
85.842557,41.830713,40.510478
86.834748,39.860964,39.205360
87.83284,36.737362,40.196475
88.836977,42.683449,39.456089
89.839456,38.435954,39.491681
90.862929,37.439440,35.452687
91.845598,33.702614,39.177843
92.844897,38.735593,38.312475
93.830587,42.142636,39.260809
94.848111,43.231947,39.044388
95.856854,35.086323,37.416414
96.849945,39.049006,36.945451
97.846654,37.984289,37.594314
98.850255,42.825084,38.515368
99.839234,38.019409,37.703929
100.843376,39.281089,38.298562
101.838377,40.918039,35.499775
102.85109,42.442202,37.964711
103.848758,40.968058,37.163283
104.856794,36.904712,35.995655
105.843751,43.280601,37.676891
106.836977,40.698012,36.898806
107.844561,38.074557,34.004978
108.848945,37.055353,35.159415
109.837706,40.215586,35.580326
110.854576,36.931362,33.838140
111.84846,29.054732,25.981878
112.851129,36.885921,29.577988
113.859811,27.506765,27.545484
114.889541,15.435942,23.289479
115.863036,34.724914,30.081358
116.855588,17.048520,27.092735
117.867304,30.706921,26.948942
118.852163,30.166035,28.868425
119.852397,30.203774,29.007415
120.85974,35.656853,30.584370
121.842249,36.163883,30.755470
122.85835,32.548547,29.996574
123.867011,34.068337,31.451381
124.843618,35.428093,30.888118
125.848643,30.977878,30.430542
126.855384,35.233126,30.441712
127.869831,33.468682,29.830485
128.8631,34.888270,30.227903
129.858982,32.095324,29.706428
130.861221,34.064120,29.391836
131.847134,31.548206,29.179633
132.846396,32.767171,30.003052
133.868373,34.493066,29.685375
134.851809,28.774578,29.461492
135.86894,34.113314,29.114430
136.85234,33.894623,29.096009
137.850473,28.349598,27.571964
138.857061,30.060927,28.045003
139.857785,35.007946,27.580696
140.879837,26.187546,25.882261
141.863903,30.622599,27.637549
142.877205,28.429196,26.567335
143.889443,18.245088,22.433303
144.869218,29.332558,25.029022
145.872084,29.165092,26.627667
146.851727,29.192791,26.309740
147.880431,23.984087,25.336352
148.855301,29.628156,26.412681
149.884314,24.017293,25.135266
150.882772,24.531309,23.362942
151.898961,23.718069,19.959655
152.859104,29.285933,23.747270
153.868385,23.754788,23.999800
154.867375,24.596896,24.079789
155.869034,29.620749,23.334590
156.866892,25.358271,24.274051
157.854815,27.187870,23.473128
158.859932,30.742612,24.443063
159.852769,24.584059,23.775463
160.862986,28.636719,25.935947
161.860267,28.184588,23.926035
162.869859,26.523552,23.622606
163.881476,29.146231,24.351481
164.876306,23.849595,23.730719
165.856547,25.305854,24.071399
166.866911,25.621293,24.093864
167.855074,24.788725,22.926986
168.882625,27.254907,23.839123
169.874127,26.170699,23.229447
170.865569,24.797591,22.717568
171.943909,13.309820,19.704534
172.870655,20.807559,18.209785
173.890231,19.767412,17.361700
174.88884,22.853584,17.085124
175.861141,19.929800,16.439818
176.884919,20.458277,18.234076
177.875462,24.113989,18.760802
178.913631,17.813150,17.491303
179.884553,23.491623,16.664178
180.872755,19.770546,18.779601
181.872924,22.415446,18.188208
182.869118,25.046294,19.560989
183.864373,20.813427,19.446358
184.875236,19.711142,19.085509
185.877844,24.954758,19.178242
186.873506,22.466080,20.087069
187.891865,25.752178,21.150560
188.866951,25.622828,20.200849
189.895748,25.546182,21.172518
190.873804,24.741113,21.090946
191.862899,23.197196,20.302793
192.898534,25.763160,21.053074
193.88762,24.830811,21.100253
194.866853,27.066187,21.081931
195.869616,24.283958,20.512770
196.874518,27.141063,19.996528
197.892359,22.814037,19.758436
198.891081,22.648703,20.025592
199.876625,23.961323,20.006783
200.904616,24.365042,19.640892
201.874061,24.286422,19.777849
202.906531,22.882265,19.356319
203.873509,22.783864,18.551536
204.912356,20.846415,16.519610
205.876047,18.998776,16.927300
206.86748,21.186986,18.020516
207.889632,22.303187,18.245508
208.881888,22.362015,18.189894
209.90966,21.030227,17.590005
210.910396,20.254377,17.836407
211.892222,20.303470,18.053427
212.905228,20.365471,17.924519
213.895095,21.855926,17.222883
214.91101,20.620151,17.805317
215.936862,11.778222,16.195584
216.879327,18.048589,14.749307
217.904197,19.982785,16.034001
218.902211,18.961697,15.936561
219.8817,20.853518,15.935682
220.917317,20.296697,16.661076
221.897582,19.457134,16.339465
222.911924,21.044077,16.416453
223.898366,19.638242,16.530245
224.916901,19.540317,16.391410
225.913085,20.124382,16.091510
226.922132,19.568297,16.333121
227.889918,18.717550,16.560796
228.910682,22.077485,16.214946
229.893867,19.229273,16.108691
230.976084,9.920868,15.256520
231.940939,4.239771,13.258808
232.900233,15.644711,11.770780
233.904526,5.326121,10.807709
234.956911,15.957874,10.674460
235.94741,14.905103,10.263271
236.911266,15.212805,10.400621
237.979396,14.387271,9.418815
238.957282,13.057276,8.558589
239.938664,4.525460,7.942088
240.950165,4.836467,7.157092
241.972478,13.059546,7.004903
242.938562,4.668819,6.887562
243.965534,12.174501,6.784316
244.936882,4.527606,6.286610
245.955509,4.518615,6.074117
247.010221,9.643458,5.975721
247.952972,4.395168,5.580780
248.988553,4.476767,5.120327
