time,dest_type,steps,avg_steps
2.922059,target,1,1.0
3.871897,target,3,2.0
5.105638,target,1,1.6666666666666667
5.571961,parent,1,1.0
6.138411,target,1,1.5
6.7056,target,2,1.6
6.839009,target,1,1.5
8.076615,target,3,1.7142857142857142
8.108764,target,3,1.875
8.122157,target,2,1.8888888888888888
8.172791,target,2,1.9
8.455212,target,3,2.0
9.128023,parent,1,1.0
10.871952,target,2,2.0
10.988773,target,1,1.9230769230769231
11.119317,target,16,2.9285714285714284
11.405271,target,10,3.4
11.405426,parent,4,2.0
11.621874,parent,7,3.25
12.109982,target,3,3.375
12.38848,target,6,3.5294117647058822
12.504968,target,23,4.611111111111111
12.705158,target,1,4.421052631578948
12.810683,target,4,4.4
13.174607,target,2,4.285714285714286
13.443257,target,5,4.318181818181818
13.811404,target,2,4.217391304347826
14.288648,parent,4,3.4
14.421894,parent,1,3.0
14.455388,parent,1,2.7142857142857144
14.505395,target,4,4.208333333333333
14.599504,target,6,4.28
14.659085,target,4,4.269230769230769
14.70527,target,5,4.296296296296297
14.853699,target,3,4.25
15.005176,target,1,4.137931034482759
15.038553,target,4,4.133333333333334
15.061332,parent,2,2.625
15.110812,target,10,4.32258064516129
15.347699,target,10,4.5
15.375614,target,9,4.636363636363637
16.198962,target,7,4.705882352941177
16.602263,target,6,4.742857142857143
16.653481,target,8,4.833333333333333
16.862384,parent,8,3.2222222222222223
17.226421,target,12,5.027027027027027
17.486988,target,6,5.052631578947368
17.881959,parent,2,3.1
18.079398,target,2,4.9743589743589745
18.114834,target,16,5.25
18.910545,parent,4,3.1818181818181817
19.144081,target,10,5.365853658536586
19.14426,target,8,5.428571428571429
19.30314,target,7,5.465116279069767
19.738612,target,8,5.5227272727272725
19.865795,target,11,5.644444444444445
20.005343,target,10,5.739130434782608
20.005654,parent,8,3.5833333333333335
20.329888,target,13,5.8936170212765955
20.614895,target,10,5.979166666666667
20.881739,parent,3,3.5384615384615383
21.038799,target,8,6.020408163265306
21.499501,target,7,6.04
21.516193,parent,1,3.357142857142857
21.755135,target,7,6.0588235294117645
22.065828,target,10,6.134615384615385
22.43278,target,10,6.2075471698113205
23.129599,target,8,6.2407407407407405
23.464023,parent,7,3.6
23.531052,target,10,6.3090909090909095
23.587743,target,11,6.392857142857143
23.602662,parent,4,3.625
24.186053,target,7,6.4035087719298245
24.346216,target,19,6.620689655172414
24.710803,target,5,6.593220338983051
24.913764,target,19,6.8
25.03831,parent,10,4.0
25.148514,parent,4,4.0
25.168188,target,3,6.737704918032787
25.488032,parent,1,3.8421052631578947
25.663783,parent,7,4.0
25.845934,parent,21,4.809523809523809
26.183224,parent,11,5.090909090909091
26.607115,target,1,6.645161290322581
26.917809,target,29,7.0
26.995671,target,12,7.078125
27.694388,target,7,7.076923076923077
28.061574,target,11,7.136363636363637
28.351534,parent,13,5.434782608695652
28.534605,parent,7,5.5
29.308474,parent,5,5.48
29.619976,parent,4,5.423076923076923
29.699636,target,14,7.2388059701492535
29.917555,target,7,7.235294117647059
30.106034,parent,9,5.555555555555555
30.340991,parent,3,5.464285714285714
30.531011,parent,17,5.862068965517241
30.606608,parent,3,5.766666666666667
30.671051,target,17,7.3768115942028984
30.766432,target,15,7.485714285714286
30.859085,target,18,7.633802816901408
30.995905,parent,1,5.612903225806452
31.196278,target,1,7.541666666666667
31.933679,target,11,7.589041095890411
32.534433,parent,4,5.5625
32.534588,parent,16,5.878787878787879
32.818177,target,6,7.5675675675675675
33.168807,parent,9,5.970588235294118
