time,num_entities,avg_entities
1.835614,38.960624,36.700000
2.835717,102.113863,96.750000
3.836666,183.715260,179.000000
4.835773,242.877195,242.250000
5.83598,309.504171,306.300000
6.836579,390.557367,389.550000
7.837197,462.422019,462.250000
8.837057,519.608969,519.800000
9.837816,561.671296,563.650000
10.838406,629.687832,628.900000
11.839126,713.318904,709.900000
12.843151,786.775925,782.200000
13.839763,795.952373,801.700000
14.840754,794.024620,798.350000
15.841258,796.348195,800.500000
16.841359,799.123100,804.000000
17.842206,798.203321,803.000000
18.842348,799.046612,802.000000
19.843117,797.841707,803.000000
20.84354,800.743205,804.900000
21.843915,803.113019,806.400000
22.847076,811.306830,809.300000
23.845525,837.966842,843.400000
24.85424,813.166175,823.550000
25.835637,843.577801,841.100000
26.848202,813.048211,818.000000
27.857698,820.038996,813.900000
28.849474,813.347345,812.850000
29.848258,809.348658,811.000000
30.848816,813.127496,813.400000
31.849894,814.835033,815.200000
32.849868,821.274830,818.000000
33.849658,817.812367,818.400000
34.85753,821.675694,816.000000
35.850335,813.875830,813.700000
36.850819,818.500054,816.000000
37.853619,817.945096,816.300000
38.852474,820.209900,818.150000
39.839506,831.673683,821.850000
40.853851,823.930648,820.550000
41.853702,825.521121,822.000000
42.855294,825.614059,822.000000
43.854959,825.640910,822.000000
44.844353,827.943411,818.600000
45.854845,820.692065,817.000000
46.857007,823.929429,818.750000
47.85683,823.677044,819.000000
48.857901,825.331624,818.650000
49.857968,830.553198,824.400000
50.857673,825.901183,818.900000
51.859312,828.443526,821.550000
52.860243,828.304154,820.550000
53.858734,823.309281,816.850000
54.853314,831.719327,818.350000
55.860192,827.226060,819.700000
56.861857,830.311396,822.000000
57.861989,832.230015,824.450000
58.862488,833.959192,825.000000
59.863631,833.625368,825.000000
60.857681,920.544590,876.000000
61.863195,868.483871,868.900000
62.864665,832.031487,822.450000
63.864023,831.691239,821.850000
64.865328,831.003619,818.800000
65.854406,832.631882,816.000000
66.865526,828.096309,816.950000
67.867746,829.637373,817.400000
68.854609,838.586804,819.000000
69.858612,835.682760,818.700000
70.861811,839.548680,822.000000
71.867909,834.589081,824.000000
72.85666,837.794816,819.450000
73.863757,841.481459,828.100000
74.874592,851.321812,834.550000
75.871222,837.322711,824.000000
76.869787,843.937202,817.750000
