time,fps,avg_fps
1.835575,60.318189,60.094458
2.835675,60.120239,60.045171
3.836648,60.211548,60.114715
4.835756,60.401131,60.180198
5.835963,60.381833,60.041469
6.836553,59.885546,59.973617
7.837153,60.239216,60.028245
8.837016,59.979017,60.008622
9.837756,60.122631,60.012377
10.83839,60.081577,60.198467
11.839109,60.144388,60.239609
12.843125,47.893388,55.444188
13.839747,60.335836,60.147938
14.840711,60.028148,60.246553
15.841197,60.383851,60.157360
16.841321,60.058195,60.130731
17.842188,59.878301,60.009145
18.842332,60.577788,61.435818
19.843101,60.702415,61.044582
20.843515,60.268547,60.537120
21.843897,60.243907,60.151084
22.847048,60.122059,60.944332
23.845444,61.012115,61.000422
24.854198,50.895244,58.775237
25.835613,55.987166,60.100752
26.848185,58.476719,60.108596
27.857438,49.216179,59.628251
28.849447,60.935947,61.358757
29.84823,60.561524,60.883120
30.848788,60.397424,61.451446
31.849865,60.889092,60.937603
32.849837,61.025354,62.169563
33.84964,60.783882,60.996078
34.857505,60.271269,61.318342
35.850296,60.316779,61.419744
36.850789,60.495641,61.374134
37.853533,60.598368,61.422098
38.852449,60.490627,61.293207
39.839469,58.701935,61.136956
40.853765,60.377088,61.697855
41.853684,60.355066,61.558349
42.855262,60.787771,62.058937
43.854933,60.559387,62.194655
44.844325,58.330855,61.414756
45.854819,61.009908,62.102561
46.856989,60.532157,62.164778
47.856813,60.242165,62.409915
48.857837,60.598210,62.372487
49.857935,60.543270,63.064560
50.857657,61.055610,62.888983
51.859295,60.543151,62.917509
52.860226,60.619181,63.498157
53.858706,60.716671,62.604477
54.853281,63.175965,62.643590
55.860147,60.392584,62.880878
56.861817,62.051648,63.698748
57.861972,61.234593,64.105413
58.862459,60.954231,63.970617
59.863589,61.996743,64.890989
60.857662,55.795249,63.491524
61.863152,61.151956,64.318203
62.864629,61.489146,64.568857
63.863992,61.345683,64.604653
64.865296,62.197125,64.267127
65.854389,55.402165,63.964120
66.865486,61.292815,64.489569
67.867717,61.257143,64.457552
68.854583,60.082110,65.442127
69.858551,61.506971,63.819109
70.861794,72.185467,62.632200
71.867888,62.854483,65.559234
72.856635,64.276482,65.088706
73.86373,75.628315,62.740491
74.874566,55.951017,61.461577
75.871193,64.777892,64.976745
76.869734,62.493474,65.471453
77.865071,56.676423,63.370235
78.869888,69.201908,62.623346
79.862721,55.604169,64.470130
80.874844,60.752058,62.456619
81.874168,61.227937,66.331017
82.875222,61.391397,61.649570
83.872807,62.315235,65.983785
84.86725,61.478314,58.742195
85.863439,59.400749,63.024447
86.859792,64.229658,66.944358
87.876131,60.429147,62.339034
88.864365,64.857488,61.392944
89.866383,61.411996,62.029938
90.868903,62.598019,58.562544
91.878421,60.004950,62.845297
92.867629,58.171345,61.919778
93.86793,64.188512,61.272655
94.87026,59.835087,60.411178
95.869794,66.334689,67.095494
96.867526,61.862679,62.614303
97.870689,57.274803,62.904189
98.88191,61.544581,64.251908
99.87994,61.766860,60.476313
100.868102,70.023250,63.462530
101.873323,65.006815,61.743981
102.88371,63.834300,64.242039
103.869248,64.972953,63.974280
104.874781,63.612592,64.220275
105.881037,77.326650,61.404229
106.87365,60.686357,64.566802
107.886664,62.507815,65.816054
108.878593,66.813993,62.343882
109.886619,64.908332,66.101075
110.876509,60.980610,60.004822
111.882958,63.534205,66.605830
112.881058,59.364829,62.567825
113.888789,59.741443,60.636829
114.888159,60.340672,61.430636
115.875877,56.945948,64.486924
116.890241,60.420763,61.595541
117.88295,70.956458,61.354421
118.881751,58.000736,61.352051
119.877339,80.664426,68.615761
120.881742,68.496576,63.378166
121.885557,61.302420,63.448328
122.884773,61.212597,59.897730
123.882372,63.517265,66.033668
124.88177,66.655253,62.170350
125.883844,64.659624,62.289320
126.885824,59.629210,62.963890
127.896652,62.037789,64.988788
128.886042,55.557507,59.089872
129.891078,61.650556,61.292307
130.881971,69.380993,60.738429
131.898518,60.859197,66.014585
132.880977,65.179521,63.426617
133.889281,65.342110,63.399633
134.886416,59.140036,64.855955
135.894085,61.554381,66.568369
136.900918,59.415002,60.202951
137.891667,73.334757,62.917728
138.892013,65.305168,61.606709
139.883323,69.692397,62.813711
140.895281,60.826581,59.170368
141.888526,70.909652,62.546439
142.910142,26.173142,56.458004
143.896643,46.513099,53.285567
144.885193,64.680135,59.276780
145.899324,42.518767,59.027182
146.884687,62.307411,60.057014
147.892846,66.932138,61.706243
148.884514,58.620495,60.887846
149.893588,58.942870,60.650701
150.891789,55.984863,58.386272
151.891197,79.806123,64.520739
152.892312,74.025959,63.595927
153.889908,58.132831,62.732011
154.886771,64.900082,59.661327
155.885241,73.412273,64.385313
156.900329,66.598280,62.221955
157.888128,61.261760,63.611465
158.892441,65.261235,61.900810
159.896699,54.879917,61.283865
160.898481,74.232702,63.582346
161.898142,75.699450,64.226677
162.891843,61.224551,60.316980
163.894782,61.163445,62.856952
164.895945,83.257401,65.043760
165.89084,77.010937,66.656856
166.899474,70.141179,61.982675
167.894229,69.022405,65.560448
168.889673,81.344834,64.541675
169.888713,61.120722,64.751158
170.891432,60.514512,58.905393
171.910282,55.392244,60.017758
172.899576,58.785748,62.715081
173.903828,62.645767,62.983852
174.905032,61.125094,61.668287
175.893636,60.177683,64.832981
176.896844,72.829102,64.685783
177.901302,65.373786,62.294300
178.898953,70.430329,61.504777
179.892643,74.648264,65.784222
180.906713,56.026652,61.976431
181.895738,63.003566,63.494573
182.899854,76.745808,60.372298
183.898007,72.285551,61.811948
184.908525,62.946158,58.479389
185.898888,81.662791,67.535969
186.89418,72.897336,59.796713
187.896855,59.276081,65.128433
188.896633,76.254758,66.254514
189.904093,51.160669,64.746976
190.905403,64.671322,61.809801
191.90305,69.767820,64.049108
192.907459,67.846524,63.530838
193.901964,66.379288,63.253987
194.903634,74.069992,60.960544
195.894582,84.091094,68.183845
196.902997,69.053265,64.509443
197.908739,55.846989,63.396623
198.909836,82.036416,63.337111
199.900105,60.430972,63.909721
200.907839,76.292614,60.817363
201.910064,63.464925,62.252696
202.911394,70.761944,60.820956
203.912233,58.634265,56.819250
204.934414,30.280743,54.994910
205.913515,35.222019,45.042835
206.918966,54.422405,48.901617
207.904904,74.903529,62.104210
208.908152,70.726321,60.554261
209.898117,71.623617,62.001563
210.909569,68.645605,61.345938
211.909434,64.205147,65.598499
212.908598,67.211085,62.134034
213.902922,60.927303,65.700308
214.90909,61.016015,65.328196
215.915531,70.077163,67.461992
216.904104,76.860596,61.266823
217.916424,60.098668,63.163286
218.902928,65.570387,61.793274
219.918092,70.164178,60.794968
220.915753,36.985115,54.304887
221.909846,62.695909,61.953425
222.90889,63.871281,62.060648
223.914557,60.925977,63.978023
224.916488,46.883207,63.062927
225.913164,64.848425,62.962654
226.909451,70.815000,64.500519
227.90418,52.443274,64.959597
228.911059,66.334675,62.210699
229.917156,60.759639,62.530774
230.917502,78.241476,63.685810
231.909076,54.900381,61.968382
232.910407,59.047423,62.800188
233.913608,55.462262,64.607675
234.928064,42.413595,60.554744
235.914166,78.909439,64.189294
236.916436,45.903954,57.245221
237.915184,60.900605,61.594378
238.914321,57.032439,60.371287
239.921035,49.562524,63.250191
240.925482,72.823707,61.220424
241.918386,61.457281,64.944259
242.906934,80.420464,64.468085
243.910625,62.157740,57.123401
244.917138,77.262915,62.880068
245.926034,61.312105,63.721265
246.917223,55.207247,57.220004
247.912369,69.667419,62.007583
248.920973,71.969857,51.770899
249.93028,42.354671,54.654752
250.919312,73.283578,63.364930
251.921486,51.149113,55.092011
252.915595,55.578528,63.746952
253.92045,54.754653,64.600563
254.928968,57.146740,60.879378
255.923558,69.720008,64.181138
256.918816,56.373307,50.170261
257.915018,77.035157,65.877769
258.919506,75.143133,62.822683
259.920469,73.918413,66.325691
260.913197,55.704497,56.134598
261.922852,77.386976,63.298153
262.930294,45.057578,50.787251
263.932929,55.324753,48.356687
264.955996,25.103041,55.965303
265.941062,44.106899,44.561525
266.925107,54.549026,52.751934
267.925786,56.440980,56.330500
268.928134,57.925067,55.725039
269.914704,60.028986,57.321148
270.920562,52.510672,56.498302
271.926857,69.838416,62.045575
272.931683,60.741001,61.957726
273.922356,54.582820,56.466110
274.92371,54.684800,58.166549
275.924782,64.459276,56.253386
276.932588,54.411739,50.519024
277.91969,55.047849,61.143962
278.917395,48.999086,56.260062
279.932306,57.559377,56.599990
280.931479,65.147688,57.052565
281.935388,54.621319,56.121038
282.932723,71.116259,53.649361
283.93538,45.991109,57.711946
284.935689,51.887076,56.954265
285.923595,67.507413,56.808186
286.941391,38.180193,55.734244
287.920007,54.910754,55.367005
288.931421,51.071307,56.728060
289.930144,58.457007,55.724736
290.930551,55.919329,57.108878
291.930679,57.419867,58.967288
292.933979,66.227082,56.455710
293.93179,57.306968,58.086924
294.940151,48.805960,55.084067
295.92517,73.478037,58.981171
296.934224,56.527301,55.693149
297.925231,50.853303,57.023985
