time,dest_type,steps,avg_steps
2.484788,target,1,1.0
2.668453,parent,1,1.0
3.352042,target,1,1.0
3.53507,parent,1,1.0
3.702463,target,1,1.0
3.721289,target,1,1.0
3.868832,target,1,1.0
4.985247,target,1,1.0
5.535047,target,2,1.1428571428571428
5.7689,target,6,1.75
5.769261,target,1,1.6666666666666667
6.452148,target,2,1.7
6.668561,parent,1,1.0
7.3365,target,1,1.6363636363636365
8.336583,target,2,1.6666666666666667
8.684951,target,3,1.7692307692307692
8.802153,target,3,1.8571428571428572
8.885281,parent,1,1.0
9.086992,target,1,1.8
9.087122,target,1,1.75
9.301781,parent,1,1.0
9.368422,parent,3,1.3333333333333333
9.501671,target,1,1.7058823529411764
9.535195,target,3,1.7777777777777777
9.568594,target,1,1.736842105263158
9.76895,parent,1,1.2857142857142858
9.819103,target,5,1.9
9.902011,target,3,1.9523809523809523
9.968541,target,1,1.9090909090909092
10.01854,target,3,1.9565217391304348
10.03545,target,3,2.0
10.168417,parent,1,1.25
10.201745,parent,1,1.2222222222222223
10.502038,target,1,1.96
10.535398,target,7,2.1538461538461537
10.685322,parent,1,1.2
10.837655,target,3,2.185185185185185
10.868526,target,1,2.142857142857143
10.868748,target,5,2.2413793103448274
11.051978,parent,1,1.1818181818181819
11.719516,target,2,2.2333333333333334
11.818709,target,1,2.193548387096774
11.852314,target,2,2.1875
12.018594,target,3,2.212121212121212
12.051915,target,3,2.235294117647059
12.088677,target,10,2.4571428571428573
12.152069,target,1,2.4166666666666665
12.793541,target,4,2.4594594594594597
12.814432,target,1,2.4210526315789473
13.101942,parent,7,1.6666666666666667
13.285088,parent,1,1.6153846153846154
13.589218,parent,4,1.7857142857142858
13.685527,target,6,2.5128205128205128
14.135431,target,7,2.625
14.235531,parent,2,1.8
14.63539,target,4,2.658536585365854
14.652011,target,7,2.761904761904762
14.77193,target,3,2.7674418604651163
14.854781,parent,1,1.75
14.91857,parent,3,1.8235294117647058
15.118564,target,1,2.727272727272727
15.518547,target,2,2.7111111111111112
15.718963,target,4,2.739130434782609
15.770826,target,7,2.8297872340425534
15.885129,target,8,2.9375
16.16869,parent,12,2.388888888888889
16.202135,target,6,3.0
16.368781,target,1,2.96
17.385638,parent,4,2.473684210526316
17.402091,parent,7,2.7
17.435653,target,4,2.980392156862745
18.30197,parent,4,2.761904761904762
19.268872,target,25,3.4038461538461537
20.019312,target,12,3.5660377358490565
20.342708,target,6,3.611111111111111
20.802337,parent,8,3.0
20.98537,target,7,3.672727272727273
21.285485,target,7,3.732142857142857
21.702235,target,7,3.789473684210526
22.168893,target,7,3.8448275862068964
22.385754,target,23,4.169491525423729
22.468928,target,11,4.283333333333333
22.605758,parent,4,3.0434782608695654
23.635643,parent,10,3.3333333333333335
24.552411,target,3,4.262295081967213
24.740396,parent,1,3.24
24.946769,target,1,4.209677419354839
24.94706,parent,4,3.269230769230769
25.385432,target,14,4.365079365079365
25.535692,target,10,4.453125
25.568982,target,13,4.584615384615384
25.652127,target,20,4.818181818181818
25.835056,target,23,5.08955223880597
25.845593,target,3,5.0588235294117645
26.302432,parent,2,3.2222222222222223
27.135895,target,6,5.072463768115942
27.168855,parent,14,3.607142857142857
27.518776,target,17,5.242857142857143
28.135696,parent,15,4.0
28.168936,target,18,5.422535211267606
28.369167,parent,11,4.233333333333333
28.786676,parent,10,4.419354838709677
28.871205,parent,16,4.78125
28.935859,target,12,5.513888888888889
29.035722,parent,1,4.666666666666667
30.097765,target,3,5.47945205479452
30.519051,target,18,5.648648648648648
30.685539,target,14,5.76
30.871413,target,17,5.907894736842105
30.90226,parent,4,4.647058823529412
31.269087,parent,1,4.542857142857143
31.269337,target,23,6.12987012987013
31.469234,target,1,6.064102564102564
31.609868,target,22,6.265822784810126
31.668897,parent,1,4.444444444444445
31.875785,target,1,6.2
32.070905,parent,1,4.351351351351352
32.124692,parent,27,4.947368421052632
32.1368,target,27,6.45679012345679
32.252451,target,1,6.390243902439025
32.252723,target,18,6.530120481927711
32.285881,target,5,6.511904761904762
32.9525,parent,3,4.897435897435898
33.098531,target,21,6.682352941176471
33.098682,parent,6,4.925
33.169245,target,15,6.77906976744186
33.269212,target,42,7.183908045977011
33.31915,parent,12,5.097560975609756
33.55234,target,5,7.159090909090909
33.609321,parent,12,5.261904761904762
33.68573,target,34,7.46067415730337
33.769061,parent,3,5.209302325581396
33.885568,parent,26,5.681818181818182
34.622381,parent,12,5.822222222222222
34.72208,parent,18,6.086956521739131
34.856888,parent,20,6.382978723404255
35.019009,parent,3,6.3125
35.202422,target,9,7.477777777777778
35.518996,target,6,7.461538461538462
35.519231,parent,1,6.204081632653061
35.736111,parent,1,6.1
35.860146,target,22,7.619565217391305
36.002429,target,12,7.666666666666667
36.122679,target,20,7.797872340425532
37.269144,target,11,7.831578947368421
37.485901,parent,15,6.2745098039215685
37.735789,target,5,7.802083333333333
