time,fps,avg_fps
1.781619,60.168378,60.414786
2.781134,60.027224,60.060587
3.781432,60.071170,60.217874
4.781636,59.958778,59.976719
5.781538,60.070145,60.064683
6.782102,59.929913,59.976636
7.782444,59.832675,59.954714
8.782806,59.789794,59.945062
9.78284,60.056705,60.135152
10.783948,59.739116,59.994717
11.775604,54.359878,53.441511
12.785277,60.242106,60.156547
13.785604,59.973086,60.185520
14.786284,60.029760,60.127928
15.786847,59.932296,60.931784
16.786746,60.111811,60.262364
17.78723,60.187255,60.709124
18.787917,60.039849,60.036423
19.788092,60.221237,60.444049
20.788779,60.139242,60.422324
21.789106,60.634462,61.954177
22.789468,60.407133,60.982129
23.790168,60.278332,60.449476
24.790767,60.199369,60.379219
25.791519,61.684571,63.412857
26.791815,61.056922,62.244966
27.792168,60.679992,61.684783
28.793475,60.022531,60.527527
29.79372,60.516672,61.530795
30.794143,60.341303,61.091126
31.793687,60.521158,61.768940
32.794065,60.539650,61.825184
33.795607,60.731169,62.449690
34.796168,60.363828,61.726783
35.797315,60.509261,61.405840
36.797018,60.622420,61.943861
37.797041,60.423360,62.373096
38.798023,60.723882,62.263274
39.797635,60.824293,63.146604
40.798648,60.670298,62.813905
41.79958,61.163895,60.869047
42.800224,60.634956,61.665934
43.801687,61.467118,64.646022
44.8015,60.781838,61.992469
45.801407,60.621122,62.858862
46.801949,61.258719,63.957725
47.802153,61.146075,65.115860
48.803497,61.261973,63.748431
49.803975,60.997686,63.185989
50.803482,61.172475,64.376643
51.805143,61.292209,63.722152
52.804447,61.339210,63.905367
53.80491,62.083176,65.441965
54.805609,61.236056,63.786044
55.805979,62.453031,64.432930
56.806978,61.919345,63.318597
57.805987,60.818198,61.651452
58.806835,61.327142,64.643080
59.806992,60.657264,60.958460
60.809125,62.020496,64.927973
61.810508,60.550753,62.489877
62.809717,61.835710,63.988534
63.810138,61.616617,65.346793
64.810892,61.794916,63.662830
65.810926,61.141820,64.526090
66.811173,60.520317,61.576469
67.812259,61.542039,62.600516
68.812594,61.813519,65.796124
69.812583,59.759991,60.968124
70.812634,60.367875,64.223860
71.810335,66.982761,59.755625
72.81461,61.439712,65.067832
73.816426,61.400738,64.968735
74.816868,60.115342,63.331292
75.816042,62.715484,64.151299
76.818519,60.286215,63.894211
77.804772,52.100216,52.207446
78.81795,61.107364,62.408180
79.817169,60.453446,62.415633
80.819457,60.427597,63.232344
81.82005,61.111966,63.032299
82.820318,60.219498,62.553022
83.821036,60.501608,61.221395
84.820658,61.829874,64.698385
85.821303,60.900678,63.581166
86.820937,60.361451,61.006572
87.821634,61.487310,64.168271
88.82218,61.169552,64.732317
89.824699,60.603943,61.093344
90.823616,61.178010,63.286266
91.824488,60.376452,61.094486
92.823636,61.944713,64.895668
93.825871,60.922301,61.723532
94.826017,61.224580,65.031101
95.826706,61.366351,64.208554
96.827034,60.151356,60.911560
97.827555,60.610328,63.350900
98.827588,60.516175,62.743192
99.827828,62.236836,62.237322
100.829322,61.557097,65.247445
101.8144,70.778695,62.303302
102.828579,59.745279,62.792698
103.829976,61.942388,64.479264
104.829872,60.854033,61.992662
105.830658,60.950561,63.610796
106.830412,60.219364,62.167697
107.831105,61.028982,64.286069
108.831544,60.360084,63.207047
109.833644,61.718184,63.324741
110.833791,60.422621,62.336692
111.835413,62.019570,65.678056
112.829779,60.128123,61.628356
113.834331,61.111930,63.723328
114.832711,61.687678,63.088858
115.833435,60.548505,62.165041
116.82559,58.066700,63.019796
117.834698,60.466015,61.573955
118.814212,61.732585,65.846247
119.820261,60.899552,62.505402
120.822012,60.124187,63.372955
121.818902,61.071713,63.180892
122.817975,59.737254,62.416205
123.818262,60.807898,65.024015
124.822886,73.172780,60.909713
125.82132,64.020010,62.358413
126.8191,60.345682,62.583246
127.81742,60.820686,62.534182
128.818837,61.673363,64.740988
129.829735,68.625113,59.146837
130.84772,14.162815,50.385225
131.822675,62.156515,59.470814
132.834181,53.286875,59.862494
133.820603,58.483196,56.933610
134.819462,72.188020,64.650631
135.821089,61.137245,64.749579
136.821065,62.264170,63.820854
137.821609,61.625425,62.123656
138.827327,61.599822,64.093787
139.823851,64.769182,64.756689
140.824441,61.810087,67.515276
141.83139,77.139017,62.982448
142.830644,64.277991,63.133503
143.824014,61.136657,63.879256
144.841679,57.080581,58.118752
145.8244,61.141542,62.485056
146.837008,60.967397,59.489343
147.837891,77.317434,63.033744
148.829179,61.698994,67.376360
149.836333,77.310341,62.676769
150.827795,60.649114,66.651162
151.829826,60.734138,65.156671
152.830786,60.973373,63.782507
153.826517,59.353310,63.178692
154.831427,52.362701,62.878476
155.833401,60.333167,64.991458
156.828998,62.010006,64.609613
157.832129,59.259246,63.809126
158.831606,59.869676,63.736218
159.832109,61.047977,65.848622
160.828644,61.150836,67.351441
161.831162,80.760022,65.550167
162.833635,60.740457,66.185245
163.832651,60.729471,64.670409
164.830732,59.949339,64.034646
165.834862,60.188793,65.519269
166.833408,59.188871,64.305731
167.842024,79.191257,63.620790
168.833797,73.510224,64.253802
169.835671,63.901412,63.471502
