time,dest_type,steps,avg_steps
4.564638,target,2,2.0
5.230666,target,3,2.5
5.897426,target,4,3.0
6.447462,parent,2,2.0
6.46422,target,4,3.25
6.614237,target,5,3.6
7.347546,target,4,3.6666666666666665
7.664426,target,1,3.2857142857142856
8.430813,target,4,3.375
8.597496,parent,1,1.5
9.282594,target,1,3.111111111111111
9.565151,target,4,3.2
10.630688,target,5,3.3636363636363638
11.014508,target,1,3.1666666666666665
11.147717,target,5,3.3076923076923075
11.247581,target,10,3.7857142857142856
11.897365,target,1,3.6
12.21442,target,1,3.4375
12.314554,target,1,3.2941176470588234
12.397912,target,3,3.2777777777777777
12.481134,parent,3,2.0
12.981389,target,5,3.3684210526315788
13.231388,target,3,3.35
13.248692,target,5,3.4285714285714284
13.298484,target,7,3.590909090909091
13.91434,target,5,3.652173913043478
14.0354,target,2,3.5833333333333335
14.14762,target,5,3.64
14.147805,parent,1,1.75
14.297549,target,4,3.6538461538461537
14.81458,target,2,3.5925925925925926
14.814883,parent,1,1.6
16.098097,target,5,3.642857142857143
16.297838,target,1,3.5517241379310347
16.298004,target,5,3.6
16.681116,target,13,3.903225806451613
16.964694,target,9,4.0625
17.164749,target,8,4.181818181818182
17.231324,parent,1,1.5
17.264843,parent,5,2.0
17.381095,target,7,4.264705882352941
17.698021,parent,4,2.25
18.081318,target,12,4.485714285714286
18.131196,parent,1,2.111111111111111
18.299225,parent,5,2.4
18.299319,parent,2,2.3636363636363638
18.597967,parent,1,2.25
18.71454,target,4,4.472222222222222
18.731281,parent,9,2.769230769230769
18.764643,parent,5,2.9285714285714284
18.89837,target,9,4.594594594594595
18.964509,target,9,4.7105263157894735
19.164644,parent,7,3.2
19.314512,target,7,4.769230769230769
19.553056,target,15,5.025
19.897963,target,11,5.170731707317073
20.214656,parent,5,3.3125
20.264636,target,5,5.166666666666667
20.414739,target,7,5.209302325581396
20.482253,target,4,5.181818181818182
20.501714,target,7,5.222222222222222
20.698948,target,8,5.282608695652174
20.9316,target,6,5.297872340425532
21.038384,target,8,5.354166666666667
21.301784,target,5,5.346938775510204
21.503107,target,14,5.52
21.549559,target,8,5.568627450980392
21.549833,parent,1,3.176470588235294
21.614456,target,9,5.634615384615385
21.697805,target,7,5.660377358490566
21.964736,target,3,5.611111111111111
22.264467,parent,4,3.2222222222222223
22.348117,parent,11,3.6315789473684212
22.542063,target,9,5.672727272727273
22.631279,parent,4,3.65
23.614661,target,10,5.75
24.064741,parent,11,4.0
24.289695,target,7,5.771929824561403
25.131286,target,14,5.913793103448276
25.148008,parent,2,3.909090909090909
26.264643,parent,4,3.9130434782608696
26.514578,target,14,6.0508474576271185
26.564462,parent,8,4.083333333333333
27.05378,parent,6,4.16
27.305216,target,15,6.2
27.560747,target,2,6.131147540983607
27.816081,target,1,6.048387096774194
27.848035,parent,7,4.269230769230769
27.998022,target,8,6.079365079365079
28.265489,parent,4,4.2592592592592595
28.431161,target,17,6.25
28.664669,target,6,6.246153846153846
28.98161,parent,8,4.392857142857143
29.181617,parent,6,4.448275862068965
29.334423,target,13,6.348484848484849
29.731479,target,8,6.373134328358209
29.748222,parent,11,4.666666666666667
29.815752,parent,6,4.709677419354839
30.044602,target,7,6.382352941176471
31.04296,target,22,6.608695652173913
31.381428,target,16,6.742857142857143
31.697901,target,2,6.676056338028169
31.91461,parent,8,4.8125
32.214844,parent,3,4.757575757575758
32.3818,parent,11,4.9411764705882355
32.482343,target,18,6.833333333333333
32.765307,target,16,6.958904109589041
33.06701,parent,1,4.828571428571428
33.232135,target,26,7.216216216216216
33.397905,target,2,7.1466666666666665
33.620941,target,5,7.118421052631579
33.831302,parent,13,5.055555555555555
34.148352,target,1,7.038961038961039
34.681501,parent,12,5.243243243243243
35.215177,parent,7,5.2894736842105265
35.295408,target,14,7.128205128205129
35.33145,target,8,7.139240506329114
35.631318,parent,13,5.487179487179487
35.748733,target,24,7.35
36.131612,target,18,7.481481481481482
36.333989,parent,20,5.85
36.498769,parent,13,6.024390243902439
36.548892,target,4,7.439024390243903
36.681568,target,19,7.578313253012048
36.914882,target,18,7.7023809523809526
37.665184,target,9,7.7176470588235295
38.215227,target,26,7.930232558139535
38.319728,target,15,8.011494252873563
38.498432,target,22,8.170454545454545
38.548876,parent,6,6.023809523809524
38.577766,parent,1,5.906976744186046
39.015359,parent,3,5.840909090909091
39.232244,parent,7,5.866666666666666
39.308584,target,20,8.303370786516854
39.348357,target,4,8.255555555555556
39.46607,target,20,8.384615384615385
39.604284,target,24,8.554347826086957
39.732081,target,25,8.731182795698924
39.807741,target,19,8.840425531914894
40.298658,target,24,9.0
40.898511,target,22,9.135416666666666
41.465905,parent,1,5.760869565217392
41.548518,parent,6,5.76595744680851
41.640323,target,31,9.360824742268042
42.322732,target,18,9.448979591836734
42.515561,target,24,9.595959595959595
42.865201,parent,9,5.833333333333333
42.93194,parent,11,5.938775510204081
44.071773,target,26,9.76
44.265347,parent,2,5.86
44.301185,target,6,9.722772277227723
44.515313,parent,5,5.8431372549019605
44.550876,parent,24,6.1923076923076925
44.576124,target,28,9.901960784313726
44.615196,parent,2,6.113207547169812
44.715403,target,31,10.106796116504855
45.30064,parent,1,6.018518518518518
45.36516,target,26,10.259615384615385
45.982127,target,1,10.17142857142857
46.062414,parent,5,6.0
46.073877,parent,5,5.982142857142857
46.131865,target,31,10.367924528301886
46.324554,target,22,10.476635514018692
46.611335,target,25,10.61111111111111
46.681942,parent,8,6.017543859649122
46.698698,parent,1,5.931034482758621
47.132049,parent,21,6.186440677966102
47.566189,target,20,10.697247706422019
47.597631,target,23,10.809090909090909
47.865027,target,26,10.945945945945946
48.351377,target,5,10.892857142857142
48.587599,parent,4,6.15
48.819694,target,9,10.876106194690266
49.094608,parent,15,6.295081967213115
49.131858,parent,21,6.532258064516129
49.606569,target,9,10.859649122807017
49.665477,target,32,11.043478260869565
50.015557,parent,8,6.555555555555555
50.316814,target,7,11.008620689655173
50.965315,parent,17,6.71875
51.054155,parent,9,6.753846153846154
51.16531,parent,7,6.757575757575758
51.465727,parent,14,6.865671641791045
51.572198,parent,2,6.794117647058823
51.600443,parent,9,6.826086956521739
51.83284,target,6,10.965811965811966
51.982163,parent,4,6.785714285714286
52.085386,target,9,10.94915254237288
52.382292,parent,3,6.732394366197183
52.665181,target,6,10.907563025210084
53.415721,parent,18,6.888888888888889
53.499144,target,2,10.833333333333334
53.591265,target,39,11.066115702479339
54.095262,target,3,11.0
54.343543,target,28,11.138211382113822
54.665447,parent,6,6.876712328767123
54.749041,parent,25,7.121621621621622
54.885315,parent,1,7.04
55.198757,target,3,11.07258064516129
55.215468,target,5,11.024
55.572537,parent,5,7.0131578947368425
55.898642,parent,2,6.9480519480519485
56.340112,target,7,10.992063492063492
56.43185,parent,35,7.3076923076923075
57.000529,parent,26,7.544303797468355
57.555714,target,1,10.913385826771654
57.832865,parent,6,7.525
57.86076,target,2,10.84375
57.965264,target,39,11.062015503875969
58.88232,target,14,11.084615384615384
58.982348,parent,19,7.666666666666667
59.070717,target,32,11.244274809160306
59.070996,target,19,11.303030303030303
59.121744,parent,9,7.682926829268292
59.578365,parent,12,7.734939759036145
59.605664,target,37,11.496240601503759
60.072643,target,3,11.432835820895523
60.332716,parent,18,7.857142857142857
60.343934,parent,19,7.988235294117647
60.448986,parent,20,8.127906976744185
60.590152,parent,18,8.241379310344827
60.915558,parent,41,8.613636363636363
61.415458,target,1,11.355555555555556
61.581125,parent,24,8.786516853932584
61.593704,target,32,11.507352941176471
61.66565,target,10,11.496350364963504
61.809856,target,1,11.420289855072463
61.882172,parent,4,8.733333333333333
61.982146,parent,21,8.868131868131869
62.084303,target,24,11.510791366906474
62.084397,parent,9,8.869565217391305
62.265405,parent,33,9.129032258064516
62.612959,target,11,11.507142857142858
63.071985,target,15,11.53191489361702
63.148894,target,6,11.492957746478874
63.399164,target,8,11.468531468531468
63.838587,parent,6,9.095744680851064
64.155381,parent,16,9.16842105263158
64.266126,parent,32,9.40625
64.449237,target,2,11.402777777777779
64.85167,target,34,11.558620689655172
64.868562,parent,24,9.556701030927835
64.999269,target,47,11.801369863013699
65.118427,parent,2,9.479591836734693
65.32436,parent,31,9.696969696969697
65.38748,parent,10,9.7
65.415709,target,10,11.789115646258503
65.498979,target,3,11.72972972972973
65.621064,parent,7,9.673267326732674
66.122303,target,29,11.845637583892618
66.466112,parent,1,9.588235294117647
66.682576,target,2,11.78
66.810665,target,13,11.788079470198676
66.916032,parent,2,9.514563106796116
66.982816,target,11,11.782894736842104
67.403104,target,5,11.738562091503267
67.639966,parent,3,9.451923076923077
67.666184,parent,10,9.457142857142857
67.899271,target,15,11.75974025974026
67.965747,target,44,11.96774193548387
67.999097,parent,41,9.754716981132075
68.085586,target,12,11.967948717948717
68.167588,target,25,12.050955414012739
68.265796,target,6,12.012658227848101
68.625075,parent,8,9.738317757009346
68.749368,target,45,12.220125786163521
68.765968,parent,3,9.675925925925926
68.999258,target,49,12.45
69.109906,target,4,12.397515527950311
69.11014,target,9,12.376543209876543
70.063181,target,43,12.56441717791411
70.596513,target,31,12.676829268292684
70.596804,parent,41,9.963302752293577
70.838277,parent,4,9.909090909090908
71.391614,parent,2,9.837837837837839
72.065397,target,41,12.848484848484848
72.077736,parent,10,9.839285714285714
72.578122,parent,3,9.778761061946902
72.589615,parent,12,9.798245614035087
72.848968,parent,16,9.852173913043478
72.93325,target,16,12.867469879518072
72.966264,parent,30,10.025862068965518
73.064672,parent,12,10.042735042735043
73.13535,parent,34,10.245762711864407
73.199415,target,33,12.988023952095809
73.314805,parent,12,10.260504201680673
73.982818,target,5,12.94047619047619
73.99952,target,32,13.053254437869823
74.338673,target,1,12.98235294117647
74.618526,target,11,12.970760233918128
74.838075,parent,8,10.241666666666667
75.086709,target,7,12.936046511627907
75.374733,parent,43,10.512396694214877
75.416643,target,10,12.919075144508671
75.561778,parent,10,10.508196721311476
75.665057,target,51,13.137931034482758
76.249485,target,4,13.085714285714285
76.402632,target,27,13.164772727272727
76.43298,target,16,13.180790960451978
76.625082,parent,8,10.487804878048781
76.871853,parent,10,10.483870967741936
76.982828,parent,8,10.464
77.449923,target,18,13.207865168539326
77.81595,parent,10,10.46031746031746
78.074961,target,4,13.156424581005586
78.1826,parent,52,10.78740157480315
78.182763,parent,9,10.7734375
78.324735,target,5,13.11111111111111
78.358322,parent,7,10.744186046511627
78.400233,parent,34,10.923076923076923
78.716535,target,15,13.121546961325967
79.26647,target,28,13.203296703296703
79.371676,target,7,13.169398907103826
80.113699,parent,11,10.923664122137405
80.318335,target,30,13.26086956521739
81.102169,parent,37,11.121212121212121
81.113327,parent,3,11.06015037593985
81.340236,parent,14,11.082089552238806
81.374588,target,10,13.243243243243244
81.613404,target,3,13.188172043010752
81.842024,target,4,13.13903743315508
82.2331,parent,12,11.088888888888889
82.318827,target,1,13.074468085106384
82.406573,parent,16,11.125
82.595399,parent,7,11.094890510948906
82.608142,target,24,13.132275132275133
83.093221,target,7,13.1
83.183171,parent,6,11.057971014492754
83.199762,target,11,13.089005235602095
83.487843,parent,7,11.028776978417266
83.584574,parent,6,10.992857142857142
83.597113,parent,5,10.950354609929079
83.683215,parent,9,10.93661971830986
83.733063,parent,17,10.979020979020978
84.154206,target,5,13.046875
84.509119,target,2,12.989637305699482
84.564367,parent,22,11.055555555555555
85.070308,target,1,12.927835051546392
85.166395,parent,1,10.986206896551725
85.24993,parent,1,10.917808219178083
85.842383,parent,31,11.054421768707483
85.966581,target,2,12.871794871794872
86.351429,parent,5,11.013513513513514
86.820247,parent,25,11.10738255033557
87.216842,target,7,12.841836734693878
87.888183,parent,35,11.266666666666667
87.983319,parent,1,11.198675496688741
88.20047,target,6,12.807106598984772
88.267126,target,10,12.792929292929292
88.382809,target,3,12.743718592964823
88.821516,target,60,12.98
88.845836,target,5,12.940298507462687
88.857313,parent,13,11.210526315789474
88.999589,target,28,13.014851485148515
89.170126,target,14,13.019704433497537
89.216642,parent,19,11.261437908496733
89.716341,target,23,13.068627450980392
89.966816,parent,46,11.487012987012987
90.099614,target,9,13.048780487804878
90.140644,target,1,12.990291262135923
90.347983,target,21,13.028985507246377
90.516832,parent,1,11.419354838709678
90.599584,target,21,13.067307692307692
90.699817,parent,1,11.352564102564102
90.850761,target,20,13.10047846889952
91.016646,parent,25,11.439490445859873
91.083053,parent,8,11.417721518987342
91.683529,parent,17,11.452830188679245
91.845923,target,61,13.32857142857143
91.846082,target,5,13.289099526066352
91.950171,parent,6,11.41875
91.966655,parent,37,11.577639751552795
91.983263,target,9,13.268867924528301
92.847172,parent,10,11.567901234567902
93.450524,parent,10,11.558282208588958
93.766821,target,14,13.272300469483568
93.85305,parent,40,11.731707317073171
93.85327,parent,12,11.733333333333333
93.933107,target,6,13.238317757009346
94.087906,target,2,13.186046511627907
94.105226,target,4,13.143518518518519
94.250096,parent,57,12.006024096385541
94.338471,target,21,13.179723502304148
94.502702,target,1,13.123853211009175
94.653508,parent,9,11.988023952095809
94.683393,parent,5,11.946428571428571
94.847971,target,19,13.150684931506849
94.875509,parent,3,11.893491124260356
94.916791,parent,14,11.905882352941177
95.086183,parent,4,11.859649122807017
95.412807,target,19,13.177272727272728
95.441966,parent,27,11.94767441860465
95.514146,parent,1,11.884393063583815
95.850187,target,1,13.122171945701357
95.984891,parent,7,11.85632183908046
96.089058,target,14,13.126126126126126
96.153627,target,33,13.215246636771301
96.466852,target,11,13.205357142857142
96.637466,parent,35,11.98857142857143
96.66683,target,1,13.151111111111112
96.848498,parent,20,12.034090909090908
96.848628,parent,15,12.05084745762712
97.61092,target,24,13.199115044247788
98.076944,target,37,13.30396475770925
98.169791,target,9,13.285087719298245
98.466951,target,11,13.275109170305678
98.700199,parent,1,11.98876404494382
98.849851,target,11,13.265217391304347
99.267006,parent,6,11.955307262569832
99.371573,parent,55,12.194444444444445
99.371857,target,3,13.220779220779221
99.396304,target,3,13.176724137931034
99.423513,target,9,13.158798283261802
99.70711,target,1,13.106837606837606
99.949872,target,51,13.268085106382978
100.183619,target,73,13.521186440677965
100.183826,target,19,13.544303797468354
100.353457,parent,7,12.165745856353592
100.484104,parent,9,12.148351648351648
100.717313,target,4,13.504201680672269
101.103981,target,5,13.468619246861925
101.121231,parent,22,12.202185792349727
101.329526,target,4,13.429166666666667
101.669745,parent,1,12.141304347826088
101.853798,parent,4,12.097297297297297
101.966938,target,21,13.46058091286307
102.357218,target,2,13.413223140495868
102.852029,parent,10,12.086021505376344
102.93358,target,8,13.390946502057613
103.106388,parent,17,12.11229946524064
103.106515,parent,8,12.090425531914894
103.597147,parent,15,12.105820105820106
103.904837,parent,6,12.073684210526316
104.60356,parent,22,12.12565445026178
104.603679,target,2,13.344262295081966
105.085204,target,25,13.391836734693877
105.085352,parent,16,12.145833333333334
105.367552,parent,8,12.124352331606218
105.592744,target,10,13.378048780487806
105.607969,parent,5,12.087628865979381
105.733754,parent,4,12.046153846153846
105.830035,parent,8,12.025510204081632
106.090998,target,1,13.327935222672064
106.234096,target,7,13.30241935483871
106.267284,parent,12,12.025380710659899
106.330401,parent,51,12.222222222222221
106.343622,parent,9,12.206030150753769
106.612937,parent,1,12.15
106.613028,target,1,13.25301204819277
106.750699,parent,6,12.119402985074627
106.966781,parent,1,12.064356435643564
107.83053,parent,27,12.137931034482758
108.35571,parent,12,12.137254901960784
108.439853,parent,7,12.112195121951219
108.767444,parent,6,12.08252427184466
108.853588,target,6,13.224
109.120499,target,6,13.195219123505977
109.206126,parent,12,12.082125603864734
109.347544,parent,6,12.052884615384615
109.434209,parent,9,12.038277511961722
109.651393,target,3,13.154761904761905
110.217412,parent,33,12.138095238095238
110.467549,target,2,13.110671936758893
110.909754,target,5,13.078740157480315
111.111299,target,2,13.035294117647059
111.184209,target,5,13.00390625
111.357294,target,2,12.961089494163424
111.470763,target,5,12.930232558139535
111.609163,target,22,12.965250965250965
111.834686,parent,10,12.127962085308058
112.169366,parent,11,12.122641509433961
112.169573,parent,35,12.230046948356808
112.25834,target,2,12.923076923076923
112.611539,target,4,12.88888888888889
112.840279,parent,13,12.233644859813085
113.103762,target,1,12.84351145038168
113.606593,parent,34,12.334883720930232
113.717334,parent,18,12.36111111111111
113.85599,target,22,12.87832699619772
113.904798,parent,9,12.345622119815669
114.111205,parent,24,12.399082568807339
114.191594,target,8,12.859848484848484
115.374996,parent,6,12.36986301369863
115.375239,parent,3,12.327272727272728
115.854504,parent,1,12.276018099547512
115.921553,target,27,12.913207547169812
116.092469,parent,2,12.22972972972973
116.12033,parent,4,12.192825112107624
116.354286,target,2,12.87218045112782
116.753581,target,31,12.940074906367041
116.849952,target,52,13.085820895522389
116.889434,parent,3,12.151785714285714
116.984377,target,17,13.100371747211897
117.717825,parent,4,12.115555555555556
118.104863,parent,13,12.119469026548673
118.349776,target,29,13.15925925925926
118.461858,target,32,13.228782287822877
118.837271,parent,2,12.07488986784141
119.075721,parent,33,12.166666666666666
119.075853,target,21,13.257352941176471
119.085522,target,4,13.223443223443223
119.359218,target,3,13.186131386861314
119.386787,parent,26,12.22707423580786
119.457562,target,2,13.145454545454545
119.61641,parent,1,12.178260869565218
119.717784,parent,26,12.238095238095237
119.751128,parent,19,12.267241379310345
119.880971,parent,9,12.253218884120171
120.108291,target,9,13.130434782608695
120.417353,parent,2,12.209401709401709
120.622424,parent,18,12.23404255319149
120.890544,parent,1,12.186440677966102
120.967432,target,1,13.086642599277978
122.234137,target,20,13.111510791366907
122.671672,parent,21,12.223628691983123
122.867761,target,13,13.11111111111111
123.079107,target,34,13.185714285714285
123.337647,parent,18,12.247899159663865
123.451652,target,21,13.213523131672599
123.751093,target,10,13.202127659574469
124.341979,parent,9,12.234309623430962
124.847471,parent,3,12.195833333333333
125.07835,parent,10,12.186721991701244
125.190851,target,27,13.250883392226148
125.204203,parent,1,12.140495867768594
127.091307,parent,15,12.152263374485596
127.153865,target,7,13.22887323943662
127.839336,target,6,13.203508771929824
128.119938,parent,9,12.139344262295081
128.143474,target,25,13.244755244755245
129.141819,target,4,13.212543554006968
129.187806,target,17,13.225694444444445
129.235861,target,6,13.200692041522492
129.355335,parent,24,12.187755102040816
129.856298,target,25,13.241379310344827
130.256872,parent,5,12.158536585365853
130.351782,parent,35,12.251012145748987
130.592129,parent,11,12.245967741935484
130.606569,target,10,13.230240549828178
130.704912,target,14,13.232876712328768
130.956765,parent,21,12.281124497991968
130.980443,target,6,13.208191126279864
131.09658,target,3,13.173469387755102
131.51035,parent,78,12.544
132.574033,target,14,13.176271186440678
132.662201,parent,3,12.50597609561753
132.927837,target,2,13.138513513513514
132.987058,target,97,13.42087542087542
133.095539,target,7,13.399328859060402
133.137529,parent,33,12.587301587301587
133.211248,target,2,13.361204013377927
133.355427,target,20,13.383333333333333
133.355525,parent,4,12.553359683794467
134.241347,target,9,13.368770764119601
134.606211,parent,43,12.673228346456693
134.742482,parent,46,12.803921568627452
134.984666,target,15,13.374172185430464
135.069133,parent,18,12.82421875
135.081043,parent,29,12.88715953307393
135.451796,parent,14,12.891472868217054
135.842492,parent,3,12.853281853281853
135.875168,target,13,13.372937293729374
136.001206,target,30,13.427631578947368
136.082328,parent,4,12.819230769230769
136.451579,parent,16,12.831417624521073
136.596707,target,1,13.38688524590164
136.621396,parent,14,12.835877862595419
136.84136,target,2,13.34967320261438
137.120291,target,34,13.416938110749186
137.343021,target,23,13.448051948051948
137.684677,target,18,13.462783171521036
137.734738,parent,7,12.813688212927756
137.831804,target,7,13.441935483870967
137.951359,parent,3,12.776515151515152
138.156369,target,27,13.485530546623794
138.344648,parent,1,12.732075471698113
138.359737,target,1,13.445512820512821
138.951726,target,17,13.456869009584665
139.146018,target,4,13.426751592356688
139.427051,target,5,13.4
139.951385,parent,5,12.703007518796992
140.001322,target,14,13.401898734177216
140.711085,parent,39,12.801498127340825
140.723441,target,2,13.365930599369085
140.968469,parent,9,12.787313432835822
141.088334,target,56,13.5
141.101726,target,7,13.47962382445141
141.235015,parent,42,12.895910780669144
141.251308,parent,12,12.892592592592592
141.844071,parent,16,12.904059040590406
141.873694,target,24,13.5125
142.391765,target,5,13.485981308411215
142.711396,parent,2,12.863970588235293
143.004139,parent,2,12.824175824175825
143.117919,parent,5,12.795620437956204
143.400558,parent,15,12.803636363636363
143.474606,parent,16,12.815217391304348
143.495039,parent,15,12.823104693140793
143.610668,parent,26,12.870503597122303
143.610894,target,18,13.5
144.093228,target,17,13.510835913312693
144.104568,parent,22,12.903225806451612
144.10474,target,37,13.583333333333334
144.694526,target,5,13.556923076923077
145.097974,parent,6,12.878571428571428
145.34504,parent,3,12.84341637010676
145.356778,parent,5,12.815602836879433
145.631948,parent,13,12.816254416961131
145.632075,target,2,13.521472392638037
145.847466,target,27,13.562691131498472
146.001308,parent,6,12.79225352112676
146.085254,target,17,13.573170731707316
146.099687,target,2,13.537993920972644
146.099821,parent,20,12.817543859649122
146.607404,target,1,13.5
147.107766,target,8,13.483383685800604
147.123796,target,2,13.448795180722891
147.356527,parent,7,12.797202797202797
147.603514,parent,3,12.763066202090592
147.615826,parent,1,12.722222222222221
147.628506,parent,19,12.7439446366782
147.657969,parent,29,12.8
148.235251,target,30,13.498498498498499
148.327392,target,62,13.6437125748503
148.611104,target,1,13.605970149253732
148.951924,parent,12,12.79725085910653
149.505071,parent,1,12.756849315068493
149.86024,parent,76,12.972696245733788
150.017061,target,12,13.601190476190476
150.087499,parent,5,12.945578231292517
150.452035,parent,5,12.91864406779661
151.45235,target,6,13.578635014836795
151.627455,parent,12,12.91554054054054
151.752163,parent,1,12.875420875420875
152.594066,parent,6,12.85234899328859
152.616054,target,30,13.627218934911243
152.706311,target,3,13.595870206489675
152.752088,target,10,13.58529411764706
152.85505,parent,5,12.826086956521738
153.093586,parent,17,12.84
153.39479,target,5,13.560117302052786
