time,num_entities,avg_entities
4.208396,43809.000000,43809.000000
4.708013,43813.397827,43812.050000
5.706771,43824.420241,43823.200000
6.705776,43832.967096,43832.400000
7.710125,43839.574856,43838.400000
8.705114,43850.778081,43849.650000
9.72022,43857.995883,43856.100000
10.701091,43867.184979,43865.100000
11.708147,43874.930195,43871.500000
12.725561,43881.182828,43880.450000
13.736716,43884.999545,43884.250000
14.702824,43891.406422,43888.200000
15.713617,43899.893480,43898.150000
16.711433,43905.598320,43904.800000
17.70845,43909.605295,43908.750000
18.70674,43914.739546,43913.050000
19.73217,43917.854403,43915.600000
20.713197,43923.983452,43922.450000
21.728223,43929.837437,43928.400000
22.730469,43936.965172,43933.650000
23.718471,43941.930669,43939.650000
24.727827,43944.000730,43944.500000
25.745712,43944.940743,43944.300000
26.729783,43945.998379,43945.450000
27.737468,43948.392966,43947.100000
28.704339,43949.000007,43949.050000
29.728731,43948.024060,43948.750000
30.730396,43948.461818,43948.550000
31.743367,43947.999907,43947.600000
32.707172,43950.016553,43949.300000
33.724255,43949.903064,43949.350000
34.722977,43952.097083,43950.650000
35.751045,43951.871241,43950.650000
36.705205,43948.036958,43950.150000
37.749495,43949.098071,43949.350000
38.744555,43950.877271,43949.600000
39.735905,43951.064799,43951.100000
40.70722,43950.920056,43950.050000
41.704219,43953.550072,43952.450000
42.73314,43954.021792,43955.050000
43.71635,43953.122963,43953.900000
44.711465,43955.992453,43955.050000
45.743176,43954.998536,43955.100000
46.722028,43951.976694,43952.150000
47.71608,43951.350983,43951.400000
48.704147,43951.017130,43951.150000
49.741094,43953.934884,43951.900000
50.739425,43953.996362,43953.300000
51.705084,43952.002455,43952.800000
52.749175,43957.121486,43954.500000
53.732433,43956.087513,43957.100000
54.749848,43957.999998,43957.500000
55.726047,43959.995209,43958.550000
56.706827,43958.000957,43958.850000
57.707949,43960.000411,43959.950000
58.721414,43960.965625,43960.400000
59.738234,43960.002246,43960.400000
60.718013,43958.999888,43958.900000
61.746958,43962.823550,43960.800000
62.75228,43959.808674,43960.900000
63.732895,43958.615245,43959.100000
64.704307,43958.000028,43958.350000
65.750561,43956.067028,43957.700000
66.710291,43956.999876,43956.550000
67.734299,43957.998071,43957.550000
68.756226,43959.978919,43958.950000
69.722701,43959.000023,43959.350000
70.715931,43957.999986,43958.050000
71.752403,43958.000000,43958.000000
72.708734,43961.714663,43959.550000
73.723073,43961.968270,43961.250000
74.707964,43961.982304,43962.050000
75.74252,43961.978896,43961.800000
76.703625,43962.982600,43962.350000
77.720227,43962.000449,43962.500000
78.718317,43961.955257,43961.650000
79.731981,43961.456297,43961.900000
80.734827,43960.991668,43960.350000
81.705332,43961.000000,43961.000000
82.710845,43961.431338,43961.700000
83.704719,43960.020239,43960.450000
84.711271,43959.590189,43959.250000
85.735603,43958.008322,43959.100000
86.734553,43957.045527,43957.800000
87.711067,43955.018999,43955.850000
88.733048,43955.572315,43955.350000
89.721848,43952.110998,43954.300000
90.706268,43948.992652,43949.750000
91.741329,43950.042639,43950.150000
92.715169,43950.001662,43950.300000
93.703486,43949.999951,43949.650000
94.748092,43950.221177,43950.550000
95.73262,43950.937386,43949.850000
96.720647,43950.999908,43950.750000
97.747573,43948.058637,43949.550000
98.710479,43949.988513,43949.600000
99.748732,43949.999777,43949.850000
100.72178,43952.201754,43951.600000
101.711804,43956.784908,43953.950000
102.707318,43960.946732,43958.700000
103.75218,43958.455221,43959.400000
104.729475,43960.797181,43958.800000
105.707789,43962.999827,43962.450000
106.724332,43961.004997,43961.950000
107.735752,43961.835341,43961.850000
108.749734,43959.961730,43960.450000
109.728933,43957.087584,43958.650000
110.747549,43953.065520,43955.300000
111.725423,43949.547927,43952.000000
112.703226,43947.178749,43949.250000
113.714476,43947.030542,43947.300000
114.7394,43948.008193,43948.250000
115.705566,43951.009330,43950.400000
116.728981,43950.999739,43950.700000
117.705875,43952.160508,43951.700000
118.75905,43954.902598,43953.150000
119.741971,43955.923776,43955.400000
120.734512,43956.000207,43956.200000
121.704783,43955.943750,43956.350000
122.710967,43957.002907,43956.600000
123.71372,43955.813007,43955.600000
124.731007,43956.953563,43955.650000
125.730153,43956.953985,43956.400000
126.719661,43957.985525,43957.600000
127.748783,43956.375272,43957.400000
128.736653,43953.000040,43954.800000
129.708447,43952.944008,43952.450000
130.749782,43953.000317,43953.250000
131.722467,43952.000000,43952.300000
132.745746,43952.442352,43953.200000
133.714722,43953.944720,43953.150000
134.7055,43954.010950,43954.200000
135.716759,43955.999873,43955.200000
