time,fps,avg_fps
4.208342,0.285088,0.285088
4.707924,61.031986,62.525135
5.706743,55.170672,55.244918
6.705738,33.094284,44.451594
7.71011,49.135552,50.665730
8.705044,42.962121,46.175145
9.720196,45.451429,45.431203
10.701073,43.684753,43.368999
11.70813,24.461444,30.331390
12.72552,35.220773,33.966220
13.736688,16.578953,24.196648
14.702798,31.992855,31.124971
15.713601,32.757922,32.213653
16.711396,29.035710,30.050341
17.708424,26.590137,24.344795
18.706698,27.850374,27.680971
19.732145,26.520614,26.461647
20.713102,25.049771,25.387077
21.728154,23.701492,24.055147
22.730444,19.277567,21.562401
23.718448,20.671843,20.140179
24.727791,21.837848,22.093697
25.745683,16.458778,20.965995
26.729761,19.378044,20.589342
27.737445,20.984865,20.156187
28.704311,19.869731,19.923492
29.728714,19.863084,19.806144
30.730363,20.591055,20.164162
31.74335,20.784427,19.972121
32.707048,20.552525,20.002144
33.724196,19.469535,19.145638
34.722962,21.245264,20.146531
35.75101,19.708432,19.674238
36.705083,20.990099,19.996452
37.749471,19.836237,20.239920
38.744528,20.727788,20.286332
39.735878,21.601437,20.378871
40.707197,20.884857,19.957525
41.704196,20.084493,19.616129
42.733109,21.038368,19.626211
43.716333,21.389946,19.829871
44.711448,21.103808,20.176499
45.743158,20.973864,19.692057
46.722004,19.950697,19.634265
47.716031,20.208586,19.329139
48.70413,20.465296,19.361015
49.741078,20.048522,19.473717
50.739401,18.558984,19.202127
51.705055,20.274483,18.951234
52.74916,19.288256,19.266405
53.732353,18.741991,18.806492
54.749817,18.087145,17.906468
55.725972,17.360116,17.702703
56.706806,17.267224,17.801723
57.707933,16.536878,18.119279
58.721386,18.387343,17.712770
59.738172,18.100241,17.953559
60.717976,18.872133,18.427190
61.746919,17.946732,18.593465
62.752262,19.693439,18.939539
63.732868,18.223638,18.648090
64.704291,17.160577,18.733633
65.750537,19.450616,17.644725
66.710265,19.710544,18.877230
67.734274,19.074828,18.789578
68.7562,18.470235,18.791874
69.722662,19.402258,18.715921
70.715905,17.719004,18.357180
71.752385,15.470893,16.583596
72.708702,18.331881,17.242509
73.723046,16.751148,16.770830
