time,dest_type,steps,avg_steps
6.433294,target,2,2.0
6.858855,target,1,1.5
7.550491,target,3,2.0
7.914027,target,3,2.25
7.934964,target,3,2.4
9.45048,parent,4,4.0
9.679864,target,2,2.3333333333333335
11.682419,target,3,2.4285714285714284
12.244015,target,1,2.25
12.361782,parent,5,4.5
12.637679,target,4,2.4444444444444446
13.155793,target,2,2.4
15.088723,target,1,2.272727272727273
15.368307,target,3,2.3333333333333335
15.434891,target,9,2.8461538461538463
15.495604,target,8,3.2142857142857144
15.847739,target,2,3.1333333333333333
16.072481,parent,10,6.333333333333333
16.115511,target,10,3.5625
16.885649,target,7,3.764705882352941
17.085814,target,6,3.888888888888889
17.939535,target,15,4.473684210526316
18.049195,target,11,4.8
18.455681,target,5,4.809523809523809
18.705939,parent,15,8.5
18.888682,parent,15,9.8
19.471553,target,7,4.909090909090909
19.471726,target,15,5.3478260869565215
19.543536,target,15,5.75
19.80607,target,3,5.64
20.165685,target,8,5.730769230769231
20.394246,target,15,6.074074074074074
20.712158,target,15,6.392857142857143
20.796154,target,4,6.310344827586207
21.057892,target,3,6.2
21.058075,parent,15,10.666666666666666
21.15769,target,9,6.290322580645161
21.597021,target,15,6.5625
21.813165,target,11,6.696969696969697
22.155194,target,2,6.5588235294117645
22.20318,target,15,6.8
22.48942,target,15,7.027777777777778
22.681309,parent,8,10.285714285714286
22.68148,target,4,6.945945945945946
22.835011,target,9,7.0
23.16011,target,15,7.205128205128205
23.214975,target,11,7.3
23.529938,target,14,7.463414634146342
23.717609,target,15,7.642857142857143
23.762102,target,15,7.813953488372093
23.895768,target,15,7.9772727272727275
23.936394,parent,9,10.125
23.984128,target,15,8.133333333333333
24.14446,parent,14,10.555555555555555
24.191187,parent,15,11.0
24.996306,target,12,8.217391304347826
25.120273,parent,11,11.0
25.215961,target,9,8.23404255319149
25.259939,parent,13,11.166666666666666
25.573261,target,15,8.375
26.016883,parent,15,11.461538461538462
26.017038,target,11,8.428571428571429
26.292894,target,4,8.34
26.781109,target,11,8.392156862745098
26.781215,parent,13,11.571428571428571
26.82569,parent,15,11.8
27.042228,target,15,8.51923076923077
27.111688,target,3,8.415094339622641
27.210785,target,15,8.537037037037036
27.587298,target,15,8.654545454545454
27.688943,parent,15,12.0
27.736389,target,14,8.75
27.834625,target,15,8.859649122807017
