time,num_entities,avg_entities
2.925462,43809.000000,43809.000000
3.009169,43809.000000,43809.000000
4.012747,43816.692623,43815.650000
5.005198,43825.097173,43824.250000
6.014922,43831.380952,43830.150000
7.019368,43838.886493,43838.500000
8.008686,43849.569397,43847.600000
9.005261,43855.952308,43855.500000
10.003012,43861.752853,43860.600000
11.021683,43871.327172,43869.200000
12.013235,43878.304093,43876.750000
13.026693,43888.076957,43885.450000
14.020011,43891.410136,43889.600000
15.011996,43900.280025,43898.450000
16.01076,43904.889916,43903.800000
17.007086,43918.696632,43914.050000
18.009051,43922.802519,43921.200000
19.008756,43928.981705,43927.600000
20.010319,43937.959512,43935.300000
21.004221,43941.923970,43939.850000
22.044858,43946.000000,43944.650000
23.036812,43948.999961,43947.750000
24.044049,43949.726694,43948.950000
25.050779,43948.028577,43949.400000
26.019662,43949.914386,43948.650000
27.039074,43951.394780,43950.150000
28.016512,43952.971968,43952.050000
29.033606,43955.933063,43953.900000
30.043168,43955.334640,43956.400000
31.022474,43956.981189,43956.050000
32.057786,43954.765202,43956.050000
33.013657,43956.999500,43956.000000
34.042178,43957.033741,43957.250000
35.05177,43960.021506,43958.750000
36.047907,43962.735107,43960.800000
37.005391,43964.986921,43963.250000
38.027293,43965.724137,43964.950000
39.012849,43965.996221,43965.850000
40.046497,43967.000000,43966.700000
41.058651,43968.995622,43967.800000
42.069482,43966.264262,43968.000000
43.056642,43964.000090,43965.600000
44.025753,43962.987169,43963.000000
45.023662,43963.147748,43962.700000
46.013211,43964.798869,43963.700000
47.025182,43962.000003,43963.250000
48.033185,43962.999991,43962.400000
49.048388,43962.000000,43962.500000
50.057992,43962.994118,43962.500000
51.026421,43961.004709,43962.350000
52.062926,43961.000000,43961.200000
53.037532,43963.999790,43962.050000
54.015284,43961.000504,43962.950000
55.073137,43960.157936,43960.800000
56.072117,43961.110520,43960.500000
57.08626,43958.918688,43960.500000
58.031859,43959.000001,43959.650000
59.067266,43960.074666,43959.450000
60.018591,43959.999984,43960.050000
61.079769,43961.005125,43960.100000
62.03392,43961.000000,43960.600000
63.048753,43963.001793,43961.850000
64.022791,43965.999894,43963.950000
65.130618,43965.000000,43965.100000
66.062132,43963.000000,43964.650000
67.078047,43966.000000,43964.500000
68.031795,43966.000000,43965.450000
69.006132,43963.000000,43965.100000
70.073779,43962.000000,43963.300000
71.072223,43963.000000,43962.750000
72.069004,43963.000000,43962.850000
73.078669,43962.000000,43962.800000
74.070052,43964.000000,43962.500000
75.022302,43963.000000,43962.850000
76.009942,43967.000000,43963.950000
77.041543,43968.000000,43966.050000
78.049556,43970.000000,43968.850000
79.082704,43973.000000,43970.300000
80.019971,43969.000000,43970.650000
81.076382,43972.000000,43970.350000
82.100029,43969.000000,43970.150000
83.057904,43969.000000,43969.600000
84.048104,43971.000000,43969.050000
85.008613,43970.000000,43970.050000
86.119713,43970.000000,43970.250000
87.010496,43969.000000,43969.350000
