time,num_entities,avg_entities
1.716634,30.458927,27.550000
2.717149,78.226869,74.650000
3.716371,158.606576,150.800000
4.759543,298.627132,269.450000
5.716853,443.606771,431.450000
6.727587,642.375720,627.100000
7.718351,892.014128,865.300000
8.719497,1155.487399,1134.600000
9.718649,1451.537039,1427.050000
10.719524,1776.468713,1751.700000
11.720301,2129.954649,2100.200000
12.722449,2516.440324,2482.950000
13.720774,2915.113493,2883.450000
14.722302,3319.138227,3285.000000
15.72291,3723.273247,3688.300000
16.72884,4136.351436,4094.450000
17.723564,4529.565172,4494.000000
18.72479,4931.749687,4895.000000
19.726052,5331.107841,5293.450000
20.727999,5736.243846,5695.150000
21.739144,6143.283570,6095.250000
22.728294,6533.213147,6494.100000
23.731598,6933.481901,6894.300000
24.741311,7345.390839,7297.000000
25.728975,7738.178771,7697.000000
26.732625,8142.551176,8097.850000
27.730441,8542.107961,8498.500000
28.745635,8947.551489,8899.000000
29.731742,9341.509117,9298.650000
30.742561,9742.362647,9701.000000
31.735454,10145.990690,10101.000000
32.745887,10553.424698,10501.100000
33.734013,10950.777589,10904.000000
34.740823,11355.019422,11306.850000
35.737343,11759.897979,11708.800000
36.754055,12169.384955,12110.350000
37.737459,12558.741585,12509.000000
38.741078,12953.579681,12906.000000
39.752082,13359.490125,13301.300000
40.748215,13770.924654,13697.650000
41.751829,14167.292060,14101.300000
42.752586,14601.239251,14495.150000
43.745752,14963.099199,14910.550000
44.748523,15373.280974,15302.000000
45.758914,15773.536479,15709.750000
46.747724,16169.958528,16106.250000
47.752852,16569.379125,16511.850000
48.755748,16972.375465,16905.000000
49.74644,17368.788305,17303.600000
50.756594,17770.815438,17700.700000
51.78362,18204.751261,18103.400000
52.746062,18580.101380,18496.100000
53.759828,18979.407271,18910.650000
54.748954,19389.694850,19302.700000
55.749123,19778.003158,19710.000000
56.769297,20188.989594,20109.000000
57.76346,20579.917643,20507.100000
58.752855,20981.464852,20897.000000
59.753563,21384.367826,21301.450000
60.758115,21789.221763,21697.600000
61.76418,22183.066251,22101.100000
62.760662,22576.799275,22497.950000
63.75168,22979.892337,22902.400000
64.763904,23392.275352,23282.700000
65.75778,23787.808974,23693.000000
66.753445,24191.304290,24089.600000
67.771378,24587.546548,24492.000000
68.770365,24984.438776,24893.800000
69.771748,25389.914780,25295.950000
70.770774,25791.277952,25691.700000
71.77062,26185.675375,26101.550000
72.769873,26599.617387,26489.000000
73.761102,26984.073050,26904.000000
74.760151,27400.342170,27294.200000
75.772531,27798.610034,27704.000000
76.795948,28206.598822,28088.500000
77.763617,28587.468100,28490.150000
78.76414,28997.205707,28879.000000
79.765773,29396.395120,29286.700000
80.758777,29794.003382,29676.350000
81.762536,30201.628669,30094.150000
82.759947,30594.516035,30500.350000
83.774282,30993.611538,30904.000000
84.769031,31402.684453,31300.000000
85.76773,31793.202045,31706.450000
86.771743,32188.786322,32098.600000
87.765426,32595.885851,32499.400000
