time,fps,avg_fps
1.716598,60.091717,60.015632
2.717095,59.959821,59.964386
3.716344,59.952757,59.969405
4.759361,28.894629,54.722561
5.71683,59.929493,59.967344
6.727497,61.894645,62.700057
7.718308,58.532513,75.736197
8.719466,59.914189,59.957754
9.718622,59.943460,59.975453
10.719498,60.091092,60.064234
11.720269,60.011017,59.987042
12.722413,60.095542,59.995594
13.720732,60.749817,60.507215
14.722284,60.149379,60.015728
15.722885,59.913810,60.005488
16.728814,60.072523,60.014703
17.72352,60.024132,60.234049
18.724762,60.085925,60.872317
19.726013,59.917284,60.400319
20.727975,60.416717,61.028065
21.739125,58.636550,59.801896
22.728268,61.183871,60.693081
23.731559,60.928052,60.873032
24.741273,57.108169,59.720812
25.72895,60.350111,60.773318
26.732598,60.288620,60.986593
27.730413,60.478683,61.190841
28.745617,52.462803,58.781759
29.731717,61.535576,61.915658
30.742531,60.981881,61.370342
31.735433,62.387651,61.136262
32.745862,53.370312,59.942146
33.733981,60.831861,62.282321
34.740796,59.246590,61.285647
35.737318,61.267096,63.046991
36.754038,49.842260,59.714203
37.737443,61.147081,62.202712
38.741053,62.877508,62.321787
39.752008,61.700833,60.053356
40.748186,47.095259,58.616556
41.751794,56.910163,61.069849
42.752558,30.300090,58.967526
43.745727,61.867080,64.363686
44.748485,56.166791,65.656281
45.758897,58.791579,62.540383
46.747686,52.932233,62.766950
47.752834,58.140634,61.756257
48.755719,49.269617,61.914532
49.746365,60.675998,61.491408
50.756568,55.057619,58.422424
51.783596,45.515136,61.156864
52.746026,45.498972,59.364378
53.75979,56.778622,60.679934
54.748937,45.689776,58.800298
55.749086,60.807989,61.101168
56.769279,46.893556,62.195461
57.763434,52.677426,60.620426
58.752838,47.620728,60.579773
59.753522,48.746234,57.299018
60.75807,42.785998,55.707811
61.764154,50.614514,57.089367
62.760636,52.001655,59.594714
63.751664,52.516711,61.917540
64.763864,41.173162,55.551751
65.757743,48.263685,55.910862
66.75342,41.220665,58.143431
67.771353,52.638287,55.898747
68.770341,49.758669,58.460482
69.771712,43.702559,53.111195
70.770759,45.407865,54.063403
71.770605,57.170901,58.503678
72.769843,42.630434,51.296717
73.761071,58.283742,60.399669
74.760118,41.521902,58.213461
75.772515,51.274388,60.679154
76.795887,37.521516,52.795012
77.763596,49.893237,47.675802
78.764118,40.880034,49.693206
79.765722,44.472812,50.176556
80.758754,43.791223,43.278750
81.762514,41.343438,56.838083
82.759933,48.825620,59.595849
83.774268,48.174125,58.966706
84.769008,40.245048,58.673062
85.767706,55.548704,58.709823
86.771708,57.330011,57.410235
87.765389,51.995394,58.344103
88.772133,48.047035,57.269211
89.762763,51.824783,60.175532
90.775311,45.542122,56.801788
91.759992,50.138173,57.576224
92.767339,39.998372,58.205367
93.767321,52.683937,54.419049
94.766132,38.812566,56.268927
95.775537,46.776208,54.641529
96.794776,38.740332,56.394589
97.7656,48.379693,55.353936
98.764729,37.885158,54.824612
99.766666,53.597860,55.276832
100.784155,40.776920,52.588397
101.779154,46.579391,55.286461
102.769734,39.719773,53.341738
103.773334,47.592907,52.705827
104.775396,48.254532,57.910670
105.784128,44.254951,54.828588
106.783721,44.115618,52.194727
107.770132,36.365760,48.971993
108.783765,41.671272,52.627526
109.791084,39.399232,52.001999
110.780355,44.697194,53.573826
111.800156,38.641188,52.472300
112.788446,35.066574,46.609828
113.803632,20.352174,38.385983
114.774021,16.774230,32.178238
115.780175,41.664066,42.362935
116.773364,37.581710,46.934905
117.786053,44.628074,51.599370
118.786104,44.154337,48.042689
119.779722,39.499173,51.540442
120.787961,31.931894,48.399767
121.784173,46.262759,47.727144
122.783824,38.759995,46.819027
123.779353,39.518881,47.139526
124.783144,24.504218,42.738618
125.789521,38.075607,38.582815
126.788016,20.104103,41.262532
127.790932,41.674234,37.841155
128.789446,38.551399,42.263607
129.795081,19.757487,30.305615
130.786234,29.849025,37.657723
131.798997,36.695766,42.485426
132.818227,15.724158,32.149971
133.787084,45.003587,33.854952
134.793898,43.696602,42.108701
135.800532,39.657643,35.874766
136.790844,36.734199,39.678967
137.805771,29.230834,31.683603
138.798132,30.811320,39.573230
139.789231,35.790920,37.819050
140.791147,32.930471,42.498522
141.808345,30.296578,40.846133
142.787548,29.767647,41.554807
143.79315,41.280449,45.064240
144.799017,26.298609,42.808323
145.793094,42.135842,41.688969
146.796375,28.673551,40.349108
147.78695,38.490931,40.917328
148.815034,29.079678,34.627358
149.826208,22.909377,33.340106
150.811765,17.372559,39.155686
151.806206,34.884143,38.387134
152.793851,30.542145,39.260801
153.800095,37.697746,39.909113
154.817434,33.950237,34.292140
155.794426,35.804236,41.124007
156.836305,16.902925,33.841735
157.792452,41.681295,37.002620
158.811204,28.512678,35.431676
159.799983,30.969113,39.444798
160.794109,31.219655,38.155808
161.794565,30.496654,39.052628
162.801262,37.221195,38.136762
163.797039,29.415447,38.448593
164.814521,34.281693,37.747272
165.805676,29.169775,38.201057
166.80008,30.853275,40.191482
167.816984,29.556492,37.842809
168.81816,26.199487,38.602054
169.800608,25.798826,37.828625
170.820421,32.398808,36.504712
171.809346,25.509235,36.050643
172.808525,34.735274,36.470920
173.796233,32.092508,36.645913
174.813027,26.870410,35.037627
175.811371,29.763857,35.816549
176.818781,34.565709,35.194966
177.818918,32.297021,33.071744
178.812754,36.034612,34.025212
179.810237,29.957616,33.242340
180.813773,28.896981,33.755506
181.824935,26.728229,36.748529
182.815848,34.204030,32.956050
183.811649,26.247753,36.117320
184.814091,18.129306,30.515250
185.820626,28.302271,24.984234
186.85406,21.369261,29.374450
187.80971,24.866544,31.692389
188.827796,23.465234,30.017531
189.817937,33.665132,26.399413
190.817821,21.527216,30.512467
191.83609,17.580591,28.493162
192.807786,23.411148,31.692582
193.807862,29.299109,33.178876
194.813241,30.768686,31.573380
195.805755,27.517407,31.874211
196.819195,29.526428,30.851233
197.804517,26.732418,31.129168
198.828028,33.703057,31.686554
199.82457,30.638461,30.477752
200.821146,25.885628,30.062775
201.830649,21.784742,30.324426
202.808064,23.881883,27.926983
203.822468,29.959176,32.405989
204.826175,20.936290,30.779059
205.80926,25.555439,31.441185
206.816722,20.252028,30.995091
207.829819,29.601932,30.760318
208.841059,25.021836,31.180572
209.828564,30.921928,31.350635
210.816851,26.438330,32.060205
211.828208,32.079416,31.147855
212.823945,25.724037,30.734851
213.83412,30.210800,30.526547
214.827297,25.750018,29.453882
215.823044,26.828190,30.009434
216.842285,17.154439,30.408053
217.821847,28.666895,30.275405
218.84125,22.129595,29.226541
219.836723,29.079228,30.895015
220.823669,20.826114,27.630804
221.821325,22.231755,29.688607
222.850062,21.168692,25.802814
223.821973,15.692414,26.422838
224.851657,22.915337,25.487792
225.843979,23.437855,25.614506
226.845628,22.081295,26.472110
227.84002,25.089941,25.683710
228.831886,20.155537,26.599960
229.828254,24.942554,25.594934
230.85111,22.538339,26.473333
231.854366,20.169619,24.919213
232.825824,23.617107,24.841051
233.847736,18.826417,23.814206
234.847408,23.055631,24.693715
235.832827,24.628153,27.988135
236.839874,21.729547,24.460733
237.820781,23.794992,24.956183
238.822394,19.905637,24.978389
239.844888,21.317263,25.649027
240.841954,19.892432,24.422303
241.839543,22.265895,25.690393
242.863555,19.108933,25.385163
243.852512,20.926748,24.337436
244.868839,17.278299,21.134524
245.840726,24.137693,18.857487
246.86558,20.499337,23.944087
247.863696,19.672901,19.870030
248.83427,21.515246,18.986948
249.855208,19.765383,22.690564
250.854503,21.983945,21.870919
251.830667,20.472751,22.326525
252.82963,20.410307,22.404263
253.8411,18.468795,21.856829
254.852696,25.342245,22.900744
255.859001,23.719696,23.783744
256.851055,23.337672,24.148725
257.833093,21.542187,22.227997
258.845774,21.717318,24.011798
259.83961,22.374262,22.651003
260.839105,21.645310,21.947889
261.873269,19.060229,21.823475
262.855091,27.218080,22.118791
263.831097,20.149255,23.143635
264.879157,21.924860,22.367895
265.836283,18.674034,21.190802
266.859876,19.628402,21.178526
267.853926,24.989453,21.851447
268.853166,18.688471,21.969022
269.848838,22.414427,22.154970
270.853291,19.090032,21.958561
271.841018,21.169056,21.119497
272.851009,17.119629,20.964262
273.840832,19.781352,21.313156
274.839278,17.962311,21.329360
275.871619,20.767565,21.213517
276.864015,18.005819,21.667012
277.856544,18.130008,20.347439
278.837217,14.135789,20.672293
279.854057,18.639970,21.293908
280.859705,17.543825,20.406798
281.874402,3.966411,19.971884
282.879033,22.059130,17.625820
283.850839,19.822221,17.933344
284.843995,18.161408,17.722708
285.871302,22.354107,18.839372
286.877427,18.003370,18.717176
287.865653,16.752148,18.321241
288.867257,17.022523,18.119541
289.867159,17.424850,18.600376
290.850555,17.996204,18.558586
291.888041,15.923104,18.053240
292.872436,20.318599,18.687192
293.871182,16.937456,18.640765
294.864266,22.734517,19.345470
295.86691,18.357769,19.889492
296.890012,17.911180,19.468365
297.881014,19.250034,18.930937
298.876317,18.487108,18.043313
299.860944,20.432859,17.979845
300.893598,16.313687,18.164827
301.882708,17.007180,18.349381
302.867233,18.996587,18.416646
303.87578,16.273364,18.475312
304.906841,18.574346,17.253337
305.866437,16.664527,13.463297
306.928219,17.575040,11.642911
307.912367,4.041630,10.990979
308.943713,3.384894,10.648399
309.912927,4.051733,9.255792
310.933221,3.771573,8.585402
311.927908,3.738349,6.531911
312.908782,3.807471,4.834691
313.93558,3.704152,4.794901
314.946095,3.692759,4.762008
315.955629,3.806482,3.994177
316.975279,3.678933,3.972013
318.01527,3.528198,3.926670
319.052048,3.704251,3.920896
320.127936,3.404146,3.868986
321.136198,2.118708,3.746258
322.089942,3.821496,3.643267
323.094789,3.476334,3.660456
324.109303,3.373559,3.648594
325.331581,2.144869,3.457604
326.050243,3.498327,3.362352
327.052947,3.568184,3.337369
328.33839,3.518175,3.485179
329.071229,3.197575,3.330298
330.112184,3.429111,3.254288
331.095074,2.216829,3.294537
332.114683,3.764953,3.565775
333.10645,2.183461,3.468257
334.096452,2.271361,3.371869
335.066927,3.600423,3.493572
336.113428,3.464157,3.441337
337.412706,1.872393,3.266858
