time,dest_type,steps,avg_steps
2.348942,target,1,1.0
2.531732,parent,1,1.0
4.582944,target,2,1.5
4.915643,target,2,1.6666666666666667
5.248794,target,4,2.25
5.265679,target,1,2.0
5.381843,target,3,2.1666666666666665
5.449049,parent,1,1.0
5.548487,target,4,2.4285714285714284
6.482001,target,1,2.25
6.815446,target,1,2.111111111111111
6.849285,target,1,2.0
6.932121,target,1,1.9090909090909092
7.165452,target,3,2.0
7.232359,target,4,2.1538461538461537
7.535956,parent,1,1.0
8.19867,target,4,2.2857142857142856
8.499345,target,3,2.3333333333333335
8.765763,target,4,2.4375
8.865518,target,1,2.3529411764705883
9.015543,target,1,2.2777777777777777
9.148679,parent,1,1.0
9.34923,target,3,2.3157894736842106
9.549307,target,8,2.6
9.932136,target,2,2.5714285714285716
10.38251,target,1,2.5
11.699346,target,6,2.652173913043478
12.349254,target,3,2.6666666666666665
12.970127,target,1,2.6
13.41599,target,4,2.6538461538461537
13.53247,target,9,2.888888888888889
13.865656,parent,2,1.2
13.882402,target,6,3.0
14.115657,target,7,3.1379310344827585
14.983185,target,3,3.1333333333333333
14.998996,target,4,3.161290322580645
15.149311,target,5,3.21875
15.615577,target,6,3.303030303030303
15.815683,target,4,3.323529411764706
16.015682,target,3,3.3142857142857145
16.11558,parent,4,1.6666666666666667
16.182272,target,7,3.4166666666666665
16.232709,target,5,3.4594594594594597
16.348935,target,5,3.5
16.471854,target,3,3.4871794871794872
16.482692,target,1,3.425
16.74309,parent,4,2.0
16.932443,parent,5,2.375
16.932599,target,7,3.5121951219512195
18.23529,target,3,3.5
18.799368,target,15,3.7674418604651163
18.932493,target,8,3.8636363636363638
19.06584,parent,2,2.3333333333333335
19.298845,parent,4,2.5
19.332322,parent,3,2.5454545454545454
19.515748,parent,2,2.5
19.699698,target,11,4.022222222222222
19.755645,target,15,4.260869565217392
19.865917,target,5,4.276595744680851
19.899245,parent,4,2.6153846153846154
20.049035,parent,1,2.5
20.499034,target,13,4.458333333333333
20.548969,target,15,4.673469387755102
21.065853,parent,6,2.7333333333333334
21.315675,parent,2,2.6875
21.315854,target,14,4.86
21.632974,target,15,5.0588235294117645
22.017437,parent,4,2.764705882352941
22.415919,parent,6,2.9444444444444446
22.98975,parent,4,3.0
23.332144,target,4,5.038461538461538
23.615788,target,13,5.188679245283019
23.758741,target,2,5.12962962962963
24.002089,target,17,5.345454545454546
26.273711,target,5,5.339285714285714
26.315838,parent,4,3.05
26.433043,target,7,5.368421052631579
27.049577,parent,15,3.619047619047619
27.116005,target,18,5.586206896551724
27.549617,target,21,5.8474576271186445
28.032553,parent,5,3.6818181818181817
28.241651,parent,9,3.9130434782608696
28.265961,target,14,5.983333333333333
28.34952,target,2,5.918032786885246
29.265842,parent,25,4.791666666666667
29.505018,target,15,6.064516129032258
29.731009,target,27,6.396825396825397
29.949554,target,13,6.5
30.132849,parent,6,4.84
30.230359,target,8,6.523076923076923
32.18296,parent,20,5.423076923076923
32.24415,target,2,6.454545454545454
32.707325,target,22,6.686567164179104
32.70751,target,3,6.632352941176471
32.774972,target,16,6.768115942028985
32.811725,target,6,6.757142857142857
32.884397,parent,7,5.481481481481482
33.042126,target,33,7.126760563380282
33.042228,parent,23,6.107142857142857
33.763118,target,3,7.069444444444445
34.013859,target,23,7.287671232876712
34.523671,target,16,7.405405405405405
34.633519,target,20,7.573333333333333
35.517527,target,6,7.552631578947368
35.666508,target,14,7.636363636363637
35.817511,target,24,7.846153846153846
35.984167,parent,19,6.551724137931035
36.599756,target,2,7.772151898734177
36.770084,parent,4,6.466666666666667
36.916449,target,16,7.875
37.253249,parent,3,6.354838709677419
37.510858,parent,1,6.1875
37.599599,parent,9,6.2727272727272725
37.736792,parent,2,6.147058823529412
37.883199,parent,13,6.3428571428571425
37.899858,target,22,8.049382716049383
38.083188,parent,14,6.555555555555555
38.183022,parent,6,6.54054054054054
38.26149,target,19,8.182926829268293
38.916393,target,25,8.385542168674698
39.102699,target,19,8.511904761904763
39.166629,parent,3,6.447368421052632
39.486801,parent,1,6.3076923076923075
39.87019,parent,5,6.275
39.950162,target,1,8.423529411764706
40.001073,target,27,8.63953488372093
40.015661,parent,24,6.7073170731707314
40.091666,parent,10,6.785714285714286
40.182841,target,23,8.804597701149426
40.237138,target,1,8.715909090909092
40.520414,target,15,8.786516853932584
40.682751,target,15,8.855555555555556
41.199954,target,2,8.780219780219781
41.409713,target,2,8.706521739130435
41.556715,target,35,8.989247311827956
41.993155,parent,6,6.767441860465116
42.160087,parent,10,6.840909090909091
42.63827,target,22,9.127659574468085
42.920534,target,6,9.094736842105263
42.948859,parent,2,6.733333333333333
43.158181,parent,18,6.978260869565218
43.372165,target,2,9.020833333333334
43.400139,target,1,8.938144329896907
43.400289,parent,7,6.9787234042553195
43.56648,parent,1,6.854166666666667
43.788863,parent,10,6.918367346938775
44.026698,parent,8,6.94
44.067319,parent,12,7.03921568627451
44.899814,parent,29,7.461538461538462
44.91649,parent,8,7.471698113207547
45.102528,target,24,9.091836734693878
45.102662,target,22,9.222222222222221
45.133925,target,5,9.18
45.270565,target,27,9.356435643564357
45.532624,target,27,9.529411764705882
45.669248,target,1,9.446601941747574
46.028804,parent,3,7.388888888888889
46.149425,target,53,9.865384615384615
46.343174,target,41,10.161904761904761
