time,num_entities,avg_entities
4.136316,43809.000000,43809.000000
4.806676,43814.838729,43814.400000
5.807827,43824.832730,43824.150000
6.809264,43832.112678,43830.500000
7.799555,43840.304048,43839.500000
8.815097,43846.966459,43846.400000
9.806684,43853.339827,43852.000000
10.798962,43857.947423,43857.450000
11.801261,43866.925823,43866.200000
12.834729,43875.606878,43874.350000
13.82328,43883.250079,43883.000000
14.802534,43898.672298,43897.000000
15.814888,43903.937424,43903.350000
16.818658,43907.905353,43907.050000
17.808839,43914.897860,43914.250000
18.819481,43923.548213,43921.500000
19.800466,43928.873278,43928.600000
20.818601,43929.000000,43929.000000
21.804775,43929.654976,43929.150000
22.804043,43929.961298,43929.450000
23.816124,43930.992286,43930.700000
24.807867,43932.878912,43931.800000
25.811245,43934.979261,43934.350000
26.817473,43938.983383,43938.500000
27.827245,43942.731148,43941.050000
28.812135,43944.466230,43944.750000
29.821743,43946.999798,43947.000000
30.811096,43945.160197,43945.750000
31.805094,43945.064820,43945.550000
32.823571,43949.862531,43948.900000
33.810986,43951.993137,43951.550000
34.822489,43951.621286,43951.400000
35.798228,43948.512190,43949.500000
36.80244,43947.709444,43947.600000
37.813825,43948.999330,43949.000000
38.815985,43947.301139,43948.650000
39.814618,43948.009862,43948.250000
40.815472,43947.998985,43948.000000
41.810764,43949.000052,43949.000000
42.825202,43951.085847,43950.700000
43.829046,43951.000030,43951.050000
44.807237,43952.000018,43952.050000
45.827636,43956.305122,43955.050000
46.802914,43959.000000,43958.400000
47.83815,43957.059785,43958.250000
48.879454,43952.003829,43953.550000
49.811038,43951.411492,43951.200000
50.841095,43950.036801,43950.750000
51.822648,43949.000017,43949.000000
52.804587,43948.005005,43948.450000
53.858589,43948.293141,43948.100000
54.816769,43949.614146,43949.400000
55.802267,43948.888476,43948.250000
56.822553,43948.995978,43948.900000
57.80239,43949.782588,43949.600000
58.807453,43948.465959,43948.850000
59.823104,43948.872161,43947.400000
60.818251,43948.002266,43948.600000
