time,fps,avg_fps
4.136294,0.299555,0.299555
4.806651,56.137955,59.442406
5.807801,57.343500,56.447434
6.809222,50.884068,53.067261
7.799523,47.194756,49.196181
8.815068,47.414558,47.948394
9.806633,47.537933,45.579026
10.798932,44.184833,45.081988
11.801229,43.080993,45.883691
12.834697,24.417067,38.113971
13.823257,41.022726,44.731259
14.802514,45.258382,44.650519
15.814865,43.335992,42.503103
16.818644,40.669647,41.606343
17.808824,37.380685,38.549835
18.819469,38.166565,39.381372
19.800441,37.894283,36.993094
20.818587,36.313274,36.234063
21.804761,35.079138,34.929695
22.804017,34.921096,34.346651
23.816099,36.201728,36.036808
24.807799,34.712067,35.277081
25.811228,35.403280,35.294373
26.817451,34.530473,35.770929
27.827223,29.437531,31.997704
28.812113,33.640354,35.165419
29.821729,35.765826,35.744461
30.811073,34.698926,34.635529
31.805074,36.501740,36.397655
32.823556,35.947271,35.027261
33.810964,33.953191,35.017135
34.822474,37.595845,30.828205
35.798213,39.746427,39.912534
36.802425,36.483363,39.376455
37.81381,41.767416,39.052865
38.815961,40.917241,40.162582
39.814602,40.838223,40.265112
40.81545,39.458490,39.889436
41.810735,25.324720,35.003574
42.825157,32.918770,29.363100
43.829031,21.733048,27.618754
44.807203,18.463132,24.028042
45.827609,30.325141,28.022641
46.802837,9.035029,23.561502
47.83774,13.129281,14.549459
48.879343,12.600868,22.739545
49.811023,28.478223,24.330048
50.841033,17.843931,28.992048
51.822624,29.810147,29.913890
52.804567,30.278216,31.782703
53.858451,15.490523,29.567084
54.81674,24.696868,20.274415
55.802201,29.365434,29.377499
56.822531,26.591207,28.341563
57.802376,34.464202,33.531788
58.80743,32.844535,27.385436
59.823088,17.684561,20.814329
60.818229,31.193725,26.563599
61.86226,6.628415,24.076961
62.817818,21.623216,21.801382
63.819513,30.711456,25.203379
64.869585,9.735230,20.517683
65.851215,9.916123,15.350863
66.799092,25.326053,26.712998
67.829591,28.293241,27.658070
68.852074,14.348426,24.815777
69.805844,25.547588,28.035748
70.81602,18.594357,21.892911
71.815889,14.900578,25.028447
72.816698,29.636964,22.933962
73.836332,15.422572,24.525803
74.816626,32.503028,30.251721
75.800417,31.963367,31.068745
76.805764,29.774939,30.209789
77.810392,32.496955,33.723132
78.81399,34.436359,33.926382
79.844811,9.091808,27.298638
80.819497,36.188583,33.281483
81.828318,28.239507,24.884917
82.824726,31.516028,31.127730
83.861682,17.466574,26.305497
84.810509,15.220237,22.305193
85.836449,26.072642,30.145072
86.817592,20.994812,24.917051
87.855752,14.828509,18.394962
88.851525,19.703480,21.040250
89.809688,26.017609,26.050418
90.813064,30.462251,24.203775
91.818103,21.623938,24.362723
92.816741,30.284283,28.637371
93.806062,24.851098,26.648368
94.831514,25.248231,23.154356
95.838585,17.634981,24.434561
96.804834,29.894704,29.460526
97.804987,28.869416,29.884723
98.809068,29.863246,29.340394
99.80983,17.567087,27.278368
100.797897,34.167227,33.631693
101.812398,26.948049,30.452282
102.805903,30.253345,29.517600
103.812116,33.381899,34.586061
104.81027,35.342034,27.559962
105.801086,31.025173,33.496609
106.807355,29.007709,26.824791
107.823092,15.955937,23.436866
108.817758,33.053529,29.705494
109.848962,20.706381,27.656963
110.828856,26.120430,28.385008
111.799883,20.305785,21.252138
112.838894,20.771414,26.790201
113.834234,21.232276,25.427077
114.821098,18.227075,23.225894
