time,dest_type,steps,avg_steps
5.553542,target,1,1.0
6.516275,parent,1,1.0
8.883218,target,2,1.5
10.067556,target,1,1.3333333333333333
10.516762,target,3,1.75
11.976182,target,3,2.0
11.976272,target,5,2.5
12.272154,target,3,2.5714285714285716
12.630953,target,4,2.75
12.913647,target,1,2.5555555555555554
12.992052,target,2,2.5
13.326181,target,3,2.5454545454545454
13.608609,parent,1,1.0
14.442298,target,4,2.6666666666666665
14.552967,target,3,2.6923076923076925
14.597356,parent,3,1.6666666666666667
14.958529,target,1,2.5714285714285716
15.395715,parent,3,2.0
15.520968,target,6,2.8
15.543672,target,4,2.875
15.814259,target,1,2.764705882352941
16.59431,target,5,2.888888888888889
18.003118,target,5,3.0
18.027028,target,8,3.25
18.207671,target,7,3.4285714285714284
18.762264,target,7,3.590909090909091
18.790645,target,1,3.4782608695652173
19.097175,target,1,3.375
19.122449,target,2,3.32
19.332166,parent,2,2.0
19.360205,parent,3,2.1666666666666665
19.636184,target,1,3.230769230769231
20.943955,target,3,3.2222222222222223
20.9752,target,5,3.2857142857142856
21.034432,parent,1,2.0
21.062346,parent,3,2.125
21.71907,target,2,3.2413793103448274
22.099717,parent,1,2.0
22.544256,target,4,3.2666666666666666
23.424653,target,6,3.3548387096774195
24.582153,target,4,3.375
24.58239,target,9,3.5454545454545454
24.840499,parent,1,1.9
25.240309,target,5,3.588235294117647
25.387544,target,7,3.6857142857142855
25.473029,target,5,3.7222222222222223
26.108322,target,3,3.7027027027027026
26.280473,target,5,3.736842105263158
26.280646,target,8,3.8461538461538463
26.474995,target,12,4.05
27.248992,target,11,4.219512195121951
27.249158,target,4,4.214285714285714
27.363539,parent,6,2.272727272727273
27.394569,target,4,4.209302325581396
27.681307,target,12,4.386363636363637
27.681422,target,6,4.4222222222222225
27.864993,target,5,4.434782608695652
28.239521,target,15,4.659574468085107
28.640046,parent,9,2.8333333333333335
28.778201,target,4,4.645833333333333
28.977742,target,15,4.857142857142857
29.124206,target,11,4.98
29.8995,parent,1,2.6923076923076925
30.664565,parent,2,2.642857142857143
30.969234,target,15,5.176470588235294
31.496524,parent,4,2.7333333333333334
31.554765,target,16,5.384615384615385
31.609242,parent,10,3.1875
31.837647,target,16,5.584905660377358
32.135436,target,8,5.62962962962963
32.249514,target,1,5.545454545454546
32.485518,target,11,5.642857142857143
32.654095,target,14,5.7894736842105265
33.002862,parent,7,3.411764705882353
33.29227,target,19,6.017241379310345
33.321741,target,11,6.101694915254237
33.350341,target,15,6.25
34.350181,parent,7,3.611111111111111
34.743409,target,10,6.311475409836065
34.855041,parent,9,3.8947368421052633
35.057379,parent,4,3.9
35.619272,parent,2,3.8095238095238093
35.722498,parent,2,3.727272727272727
35.856445,target,11,6.387096774193548
35.903734,parent,8,3.9130434782608696
35.9618,parent,12,4.25
36.19278,target,18,6.571428571428571
36.316054,target,16,6.71875
36.392748,parent,15,4.68
36.49166,parent,8,4.8076923076923075
36.565455,parent,14,5.148148148148148
36.666115,target,11,6.7846153846153845
36.666269,target,7,6.787878787878788
36.80203,parent,4,5.107142857142857
36.82728,target,15,6.91044776119403
37.217928,target,2,6.838235294117647
38.289508,target,2,6.768115942028985
38.521306,parent,2,5.0
38.568425,parent,13,5.266666666666667
38.692816,parent,15,5.580645161290323
39.030429,target,11,6.828571428571428
39.135736,target,2,6.76056338028169
39.438144,parent,5,5.5625
40.201003,parent,9,5.666666666666667
40.285595,target,20,6.944444444444445
41.039444,target,18,7.095890410958904
41.08817,target,3,7.04054054054054
41.15187,parent,10,5.794117647058823
42.028513,target,15,7.1466666666666665
42.49508,target,22,7.342105263157895
42.587434,target,14,7.428571428571429
42.675194,parent,1,5.6571428571428575
43.092184,target,14,7.512820512820513
43.139369,parent,13,5.861111111111111
44.006973,target,22,7.69620253164557
44.039077,target,7,7.6875
44.175927,parent,6,5.864864864864865
44.879919,parent,11,6.0
44.880217,target,12,7.7407407407407405
44.983973,target,7,7.7317073170731705
45.061294,target,4,7.686746987951807
45.099677,target,23,7.869047619047619
45.172502,parent,13,6.17948717948718
45.461754,target,13,7.929411764705883
45.600306,target,24,8.116279069767442
45.791802,target,18,8.229885057471265
45.968049,target,20,8.363636363636363
46.253485,target,5,8.325842696629213
46.253572,target,6,8.3
46.313947,parent,1,6.05
46.933152,parent,2,5.951219512195122
47.702732,parent,6,5.9523809523809526
47.836238,parent,1,5.837209302325581
48.059388,parent,7,5.863636363636363
48.189009,parent,15,6.066666666666666
48.312272,parent,12,6.195652173913044
48.368312,target,23,8.461538461538462
48.45601,parent,29,6.680851063829787
48.561779,parent,7,6.6875
49.030459,parent,1,6.571428571428571
49.705751,target,2,8.391304347826088
49.778445,parent,4,6.52
49.956039,target,18,8.494623655913978
49.956157,parent,5,6.490196078431373
50.619535,parent,2,6.403846153846154
50.976446,parent,8,6.433962264150943
52.129005,target,3,8.436170212765957
52.193188,parent,3,6.37037037037037
52.395661,parent,2,6.290909090909091
53.651604,target,4,8.389473684210527
53.789617,parent,3,6.232142857142857
54.148387,target,6,8.364583333333334
54.148562,target,24,8.525773195876289
54.779311,parent,16,6.4035087719298245
54.85614,parent,17,6.586206896551724
55.63275,target,4,8.479591836734693
55.96394,target,5,8.444444444444445
56.205282,parent,10,6.6440677966101696
56.299782,parent,2,6.566666666666666
56.48235,target,16,8.52
56.958744,target,5,8.485148514851485
57.449094,parent,8,6.590163934426229
57.684437,target,10,8.5
57.987428,parent,29,6.951612903225806
58.459286,parent,1,6.857142857142857
58.494144,target,9,8.504854368932039
58.747376,parent,17,7.015625
58.806784,parent,7,7.015384615384615
59.479385,target,15,8.567307692307692
59.701417,target,14,8.619047619047619
60.092322,target,30,8.820754716981131
